epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.063,1.49433,3.25638,1.62843,0.00629,0.66106,0.22396,0.1769,0.84573,3.00472,1.08699,0.00022864,0.00022864,0.00022864
2,34.9105,1.11848,2.22774,1.37098,0.99661,0.07204,0.40491,0.28543,0.92537,2.80844,1.14948,0.000466901,0.000466901,0.000466901
3,47.7584,1.09175,1.90525,1.3378,0.79202,0.28659,0.36038,0.17244,1.31512,2.41557,1.56816,0.000700353,0.000700353,0.000700353
4,60.5521,1.07366,1.73361,1.34236,0.7119,0.428,0.50423,0.3443,1.09978,1.90395,1.29851,0.000928994,0.000928994,0.000928994
5,73.7632,1.03652,1.65673,1.3072,0.47765,0.35237,0.33628,0.16338,1.70076,2.66219,1.95812,0.00115283,0.00115283,0.00115283
6,85.6699,1.10571,1.65775,1.33856,0.53136,0.42,0.41876,0.26824,1.24684,2.15714,1.47782,0.00135826,0.00135826,0.00135826
7,96.3946,1.12861,1.61791,1.36903,0.28041,0.4561,0.33349,0.19909,1.1291,3.60568,1.3477,0.00134412,0.00134412,0.00134412
8,109.388,1.1098,1.56666,1.31702,0.42921,0.38398,0.35342,0.21803,1.50988,2.0776,1.6551,0.00132997,0.00132997,0.00132997
9,125.401,1.08774,1.47918,1.33157,0.52909,0.47582,0.46898,0.27267,1.33779,1.78119,1.56682,0.00131582,0.00131582,0.00131582
10,137.938,1.06892,1.41489,1.30423,0.61561,0.56146,0.58773,0.42295,0.97229,1.65112,1.31371,0.00130168,0.00130168,0.00130168
11,149.241,1.05064,1.39446,1.29525,0.75707,0.50662,0.59755,0.42451,0.95866,1.41368,1.28508,0.00128753,0.00128753,0.00128753
12,161.492,1.03135,1.39227,1.27824,0.68912,0.56716,0.62567,0.4172,1.10183,1.42508,1.33752,0.00127338,0.00127338,0.00127338
13,175.441,1.03623,1.2993,1.28461,0.62344,0.62831,0.61453,0.4409,0.98149,1.23902,1.22966,0.00125923,0.00125923,0.00125923
14,186.766,1.02327,1.24327,1.27701,0.69536,0.61956,0.63402,0.431,1.0345,1.26071,1.24231,0.00124509,0.00124509,0.00124509
15,202.391,0.99535,1.21819,1.2639,0.64121,0.52827,0.57493,0.38801,1.09932,1.34222,1.26167,0.00123094,0.00123094,0.00123094
16,213.303,0.98615,1.19302,1.25231,0.61814,0.58442,0.62388,0.43152,0.99739,1.23591,1.18929,0.00121679,0.00121679,0.00121679
17,225.307,0.97307,1.16381,1.25873,0.69986,0.60409,0.66027,0.45495,1.02005,1.63242,1.20537,0.00120265,0.00120265,0.00120265
18,238.784,0.98083,1.17639,1.2615,0.71736,0.62423,0.67855,0.43045,1.32893,1.41447,1.4288,0.0011885,0.0011885,0.0011885
19,252.039,0.93126,1.12624,1.21378,0.68994,0.52926,0.59797,0.39802,1.05438,1.63772,1.21337,0.00117435,0.00117435,0.00117435
20,264.664,0.96101,1.08653,1.24617,0.70991,0.65098,0.69998,0.49754,1.03074,1.13212,1.20686,0.00116021,0.00116021,0.00116021
21,276.787,0.92154,1.07632,1.22018,0.80759,0.61752,0.69809,0.45638,1.23189,1.256,1.35084,0.00114606,0.00114606,0.00114606
22,289.933,0.9004,1.02986,1.20588,0.79886,0.66793,0.73763,0.54468,0.94696,1.07308,1.16286,0.00113191,0.00113191,0.00113191
23,301.908,0.93223,1.05439,1.2277,0.8089,0.6758,0.76054,0.54608,0.96355,0.95734,1.12946,0.00111776,0.00111776,0.00111776
24,314.41,0.91152,1.01135,1.20824,0.79309,0.65909,0.76083,0.54482,0.95558,0.98278,1.14979,0.00110362,0.00110362,0.00110362
25,326.859,0.8704,0.98563,1.17525,0.76041,0.68173,0.73834,0.54024,0.93401,0.99858,1.16366,0.00108947,0.00108947,0.00108947
26,340.382,0.90234,0.99447,1.21065,0.8388,0.64583,0.75021,0.545,0.93237,0.9471,1.13805,0.00107532,0.00107532,0.00107532
27,354.457,0.87848,0.95387,1.19702,0.77671,0.6615,0.74449,0.54444,0.92466,0.96882,1.14808,0.00106118,0.00106118,0.00106118
28,365.323,0.89027,0.94508,1.1925,0.73959,0.67068,0.74265,0.56691,0.84435,0.92972,1.07898,0.00104703,0.00104703,0.00104703
29,377.696,0.89358,0.95454,1.20256,0.72618,0.68474,0.75065,0.55899,0.93471,0.95946,1.20559,0.00103288,0.00103288,0.00103288
30,391.09,0.88385,0.95035,1.20844,0.75356,0.65345,0.72244,0.54167,0.89265,0.98447,1.11136,0.00101873,0.00101873,0.00101873
31,404.333,0.87854,0.97452,1.20449,0.76814,0.64618,0.73206,0.52377,0.97119,0.92527,1.13949,0.00100459,0.00100459,0.00100459
