epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.234,1.49043,3.29363,1.62241,0.00667,0.68371,0.22955,0.17258,0.86908,2.98735,1.11484,0.00022864,0.00022864,0.00022864
2,33.1849,1.06954,2.17904,1.33121,0.86008,0.14846,0.35981,0.24876,0.93342,2.63507,1.21483,0.000466901,0.000466901,0.000466901
3,44.9998,1.04231,1.85413,1.3218,0.73987,0.21675,0.29172,0.12021,1.63205,2.85399,2.18559,0.000700353,0.000700353,0.000700353
4,56.5704,1.05523,1.6902,1.29696,0.67187,0.456,0.48667,0.3077,1.10253,2.04455,1.37108,0.000928994,0.000928994,0.000928994
5,69.7018,1.05216,1.65663,1.30119,0.56064,0.37733,0.39705,0.21214,1.41608,2.22037,1.57759,0.00115283,0.00115283,0.00115283
6,81.2935,1.09105,1.5716,1.31252,0.59376,0.45908,0.4758,0.29029,1.24645,1.84704,1.49016,0.00135826,0.00135826,0.00135826
7,91.4866,1.08443,1.57911,1.31434,0.50382,0.41592,0.38988,0.23199,1.28526,2.14849,1.59366,0.00134412,0.00134412,0.00134412
8,103.89,1.04481,1.46084,1.2991,0.62248,0.30214,0.27957,0.15736,1.27076,3.37081,1.54576,0.00132997,0.00132997,0.00132997
9,118.994,1.0707,1.43916,1.32098,0.56282,0.53368,0.53914,0.35177,1.1162,1.75038,1.37092,0.00131582,0.00131582,0.00131582
10,129.399,1.06459,1.41255,1.32022,0.70803,0.54166,0.60781,0.38385,1.15919,1.52449,1.41552,0.00130168,0.00130168,0.00130168
11,141.139,0.98693,1.27769,1.25367,0.70363,0.50255,0.56178,0.34968,1.31162,1.6302,1.50198,0.00128753,0.00128753,0.00128753
12,152.724,0.98949,1.27769,1.26314,0.59206,0.54589,0.58049,0.37707,1.01906,1.77251,1.26973,0.00127338,0.00127338,0.00127338
13,165.561,0.99322,1.23058,1.23311,0.49807,0.42228,0.42131,0.28527,1.0177,1.88465,1.32192,0.00125923,0.00125923,0.00125923
14,177.242,0.96713,1.22546,1.22812,0.489,0.5936,0.49009,0.31758,1.00566,2.34336,1.25962,0.00124509,0.00124509,0.00124509
