epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.058,1.51408,3.21119,1.5756,0.00444,0.66857,0.22661,0.16904,0.86085,2.92271,1.11559,0.00022864,0.00022864,0.00022864
2,33.3272,1.18362,2.16714,1.35207,0.82172,0.0872,0.36038,0.25494,0.90773,2.63409,1.10322,0.000466901,0.000466901,0.000466901
3,45.9033,1.12862,1.81608,1.3074,0.70186,0.38013,0.42888,0.29743,1.10129,2.13612,1.23299,0.000700353,0.000700353,0.000700353
4,58.3823,1.08079,1.63803,1.27929,0.78072,0.41341,0.50419,0.37509,1.03942,1.87175,1.24345,0.000928994,0.000928994,0.000928994
5,71.3943,1.08327,1.58424,1.27612,0.62898,0.32842,0.4255,0.26481,1.27837,2.30156,1.39511,0.00115283,0.00115283,0.00115283
6,83.0775,1.1215,1.6201,1.29641,0.25487,0.33545,0.17321,0.09876,1.3747,2.99292,1.62258,0.00135826,0.00135826,0.00135826
7,94.0521,1.13119,1.56756,1.32535,0.47681,0.39749,0.36693,0.22855,1.27333,2.65805,1.47521,0.00134412,0.00134412,0.00134412
8,106.64,1.1249,1.52547,1.27743,0.69187,0.45984,0.52294,0.34329,1.30912,1.68949,1.41851,0.00132997,0.00132997,0.00132997
9,122.439,1.10531,1.43315,1.29318,0.54178,0.39243,0.37175,0.22491,1.38529,2.00172,1.52594,0.00131582,0.00131582,0.00131582
10,134.495,1.08472,1.41094,1.27085,0.49111,0.45439,0.44627,0.28367,1.04982,1.84534,1.2598,0.00130168,0.00130168,0.00130168
11,145.854,1.06738,1.35936,1.24675,0.61239,0.40788,0.49053,0.31506,1.06195,1.4734,1.23399,0.00128753,0.00128753,0.00128753
12,157.583,1.04873,1.36817,1.24356,0.65362,0.54924,0.58451,0.38906,1.00177,1.71813,1.21766,0.00127338,0.00127338,0.00127338
13,171.372,1.05001,1.30598,1.24242,0.71852,0.57443,0.62273,0.43872,1.09525,1.42569,1.30842,0.00125923,0.00125923,0.00125923
14,182.389,1.05088,1.27303,1.24488,0.65489,0.44373,0.50086,0.29555,1.51006,1.91142,1.65228,0.00124509,0.00124509,0.00124509
15,194.351,1.01688,1.21685,1.23227,0.68214,0.58098,0.63645,0.44663,0.98777,1.19366,1.17735,0.00123094,0.00123094,0.00123094
16,205.266,1.0058,1.21593,1.2322,0.57859,0.59009,0.60256,0.41697,1.00242,1.37512,1.17955,0.00121679,0.00121679,0.00121679
17,218.166,0.99362,1.17978,1.21876,0.70582,0.67681,0.70737,0.49463,0.97128,1.338,1.14922,0.00120265,0.00120265,0.00120265
18,230.368,0.98949,1.18175,1.21891,0.75697,0.6195,0.67976,0.48727,1.03913,1.22998,1.22946,0.0011885,0.0011885,0.0011885
19,243.443,0.96025,1.13142,1.18658,0.76407,0.64093,0.71118,0.53346,0.85421,0.96052,1.10812,0.00117435,0.00117435,0.00117435
20,257.443,0.97054,1.08598,1.20412,0.73228,0.60395,0.69989,0.50815,0.95315,1.10706,1.1382,0.00116021,0.00116021,0.00116021
21,269.707,0.92055,1.07996,1.1706,0.80898,0.54738,0.66305,0.45391,0.96346,1.10386,1.1128,0.00114606,0.00114606,0.00114606
22,280.934,0.907,1.03389,1.16681,0.78762,0.62353,0.70738,0.50971,0.9392,1.02206,1.15801,0.00113191,0.00113191,0.00113191
23,292.908,0.93148,1.0733,1.16777,0.80712,0.5363,0.66855,0.44242,1.19348,1.24959,1.31478,0.00111776,0.00111776,0.00111776
24,304.679,0.92228,1.02476,1.17228,0.80003,0.64992,0.7412,0.52364,0.99065,1.07727,1.14613,0.00110362,0.00110362,0.00110362
25,317.328,0.88826,1.00276,1.14925,0.79441,0.69745,0.74291,0.52003,0.96878,1.09054,1.15102,0.00108947,0.00108947,0.00108947
26,330.488,0.9182,0.99371,1.18219,0.77914,0.65515,0.73868,0.53573,0.95101,1.04725,1.16071,0.00107532,0.00107532,0.00107532
27,341.975,0.89136,0.95916,1.16425,0.79778,0.64564,0.73588,0.52839,0.85672,0.93249,1.08215,0.00106118,0.00106118,0.00106118
28,354.289,0.90338,0.96318,1.16397,0.79786,0.62663,0.73183,0.54488,0.92632,0.90753,1.20875,0.00104703,0.00104703,0.00104703
29,366.03,0.91391,0.98322,1.17799,0.81439,0.66593,0.72268,0.51202,0.97057,1.00892,1.18963,0.00103288,0.00103288,0.00103288
30,379.067,0.89598,0.94477,1.15771,0.74821,0.70772,0.76458,0.55553,0.91931,0.94592,1.14578,0.00101873,0.00101873,0.00101873
31,391.508,0.90004,0.98333,1.17856,0.82705,0.67105,0.76602,0.54456,0.94677,0.88399,1.14275,0.00100459,0.00100459,0.00100459
32,404.997,0.88861,0.93595,1.15812,0.73639,0.67715,0.74868,0.53748,1.00259,1.05414,1.15803,0.00099044,0.00099044,0.00099044
33,416.094,0.88044,0.91478,1.15991,0.79129,0.66253,0.75583,0.53888,0.9663,1.01393,1.09516,0.000976293,0.000976293,0.000976293
34,430.237,0.82082,0.90344,1.11448,0.68345,0.71199,0.72534,0.50417,1.03604,0.96857,1.19387,0.000962146,0.000962146,0.000962146
35,441.621,0.83924,0.89383,1.13302,0.79507,0.67124,0.77885,0.57724,0.84978,0.82947,1.07374,0.000947999,0.000947999,0.000947999
36,453.77,0.84257,0.8766,1.13399,0.88104,0.62288,0.77443,0.57737,0.84426,0.87238,1.11503,0.000933851,0.000933851,0.000933851
37,466.572,0.81154,0.85501,1.11069,0.82077,0.70373,0.76759,0.55488,0.88631,0.86385,1.11539,0.000919704,0.000919704,0.000919704
38,479.87,0.82443,0.83916,1.11585,0.80067,0.68399,0.76416,0.57242,0.87144,0.84488,1.12494,0.000905557,0.000905557,0.000905557
39,490.961,0.79997,0.81875,1.10349,0.76835,0.68908,0.76142,0.55103,0.98737,0.9158,1.16091,0.00089141,0.00089141,0.00089141
40,503.752,0.86529,0.87308,1.13824,0.77696,0.66144,0.74319,0.52067,1.05843,0.98277,1.15576,0.000877263,0.000877263,0.000877263
41,515.487,0.81341,0.82697,1.10782,0.82356,0.66083,0.76988,0.5492,1.00333,0.9169,1.15561,0.000863116,0.000863116,0.000863116
42,529.159,0.80884,0.80318,1.1183,0.78413,0.69364,0.76498,0.56968,0.86263,0.87762,1.04166,0.000848969,0.000848969,0.000848969
43,540.985,0.8111,0.81069,1.11369,0.75136,0.70753,0.75055,0.53121,0.94732,0.91648,1.07563,0.000834822,0.000834822,0.000834822
44,553.055,0.82064,0.83039,1.10358,0.75879,0.70347,0.75597,0.56043,0.91264,0.91512,1.13291,0.000820675,0.000820675,0.000820675
45,567.036,0.79964,0.8038,1.09223,0.87492,0.67027,0.78354,0.56995,0.86751,0.86456,1.1075,0.000806528,0.000806528,0.000806528
46,578.707,0.78339,0.76566,1.09127,0.82004,0.68004,0.77554,0.57871,0.84173,0.85519,1.04619,0.00079238,0.00079238,0.00079238
47,591.729,0.82375,0.8183,1.11198,0.82234,0.65055,0.76002,0.55197,0.85449,0.89456,1.0466,0.000778233,0.000778233,0.000778233
48,603.368,0.77462,0.77699,1.08023,0.81668,0.67021,0.78169,0.57142,0.90938,0.86303,1.1113,0.000764086,0.000764086,0.000764086
49,616.602,0.76106,0.74161,1.07304,0.80684,0.7266,0.80429,0.59759,0.8538,0.77401,1.09102,0.000749939,0.000749939,0.000749939
50,628.229,0.78342,0.75006,1.0803,0.86511,0.66524,0.78137,0.58102,0.86969,0.8047,1.06958,0.000735792,0.000735792,0.000735792
