epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3594,1.43454,3.19024,1.56868,0.00301,0.45917,0.04772,0.02111,2.16982,3.65266,2.15812,0.08416,0.00016,0.00016
2,36.7839,1.09872,2.11717,1.32492,0.00412,0.43667,0.01908,0.01165,2.42537,4.15613,2.99561,0.0673267,0.000326733,0.000326733
3,49.8957,1.06566,1.67604,1.32163,0.56156,0.24175,0.33991,0.21074,1.24091,2.7636,1.34811,0.0504901,0.0004901,0.0004901
4,62.7101,1.06775,1.54298,1.32688,0.56784,0.42685,0.45131,0.29907,1.22721,2.15049,1.32747,0.0336501,0.000650101,0.000650101
5,77.4434,1.029,1.44946,1.30413,0.60272,0.45953,0.50734,0.37011,0.95673,1.7952,1.17928,0.0168067,0.000806736,0.000806736
6,90.2786,1.08194,1.41946,1.31948,0.42412,0.39835,0.37527,0.19726,1.85279,2.86321,2.47472,0.0009505,0.0009505,0.0009505
7,101.658,1.04499,1.31709,1.2941,0.67163,0.3953,0.50015,0.29257,1.44455,1.88888,1.57511,0.0009406,0.0009406,0.0009406
8,115.357,1.0221,1.25885,1.28132,0.48535,0.28988,0.3271,0.18424,1.38035,2.56106,1.65327,0.0009307,0.0009307,0.0009307
9,132.126,1.04145,1.3066,1.28878,0.56331,0.41043,0.45172,0.29472,1.25432,2.12365,1.52884,0.0009208,0.0009208,0.0009208
10,143.848,1.02679,1.2515,1.28987,0.55462,0.54322,0.57169,0.39125,1.07068,1.66287,1.32191,0.0009109,0.0009109,0.0009109
11,156.719,0.97618,1.1539,1.24717,0.47661,0.42416,0.46867,0.24901,1.80296,2.03963,2.28588,0.000901,0.000901,0.000901
12,169.735,0.93219,1.12582,1.23377,0.64256,0.55603,0.61142,0.43088,1.00568,1.36337,1.28228,0.0008911,0.0008911,0.0008911
13,184.107,0.92334,1.11475,1.19732,0.4054,0.42003,0.40457,0.26992,1.20241,1.71821,1.42826,0.0008812,0.0008812,0.0008812
14,197.157,0.93934,1.11884,1.22769,0.66516,0.55407,0.61246,0.43568,1.05098,1.42114,1.32667,0.0008713,0.0008713,0.0008713
15,213.598,0.90119,1.04372,1.20237,0.71685,0.5899,0.67945,0.48397,0.94412,1.11905,1.23427,0.0008614,0.0008614,0.0008614
16,224.944,0.91406,1.05141,1.20764,0.75316,0.60541,0.67408,0.47003,0.96893,1.17006,1.2163,0.0008515,0.0008515,0.0008515
17,237.807,0.8879,1.01744,1.1991,0.73178,0.59064,0.66892,0.4817,0.88292,1.10908,1.1147,0.0008416,0.0008416,0.0008416
18,251.991,0.88597,1.01364,1.19001,0.70695,0.62173,0.69816,0.49994,0.91572,1.13548,1.16294,0.0008317,0.0008317,0.0008317
19,267.5,0.8775,0.99324,1.18804,0.76586,0.61896,0.69493,0.49647,0.94872,1.11456,1.2016,0.0008218,0.0008218,0.0008218
20,281.038,0.84466,0.94719,1.17301,0.76947,0.61342,0.68443,0.48491,1.03639,1.27258,1.29939,0.0008119,0.0008119,0.0008119
21,292.538,0.89221,0.95607,1.20082,0.71949,0.68545,0.71842,0.51746,0.95245,1.05676,1.23185,0.000802,0.000802,0.000802
22,306.239,0.86762,0.9478,1.18003,0.72866,0.61396,0.68825,0.47791,0.99986,1.09777,1.2157,0.0007921,0.0007921,0.0007921
23,319.859,0.82232,0.88887,1.14467,0.74572,0.67507,0.72539,0.50407,1.00326,1.00173,1.1547,0.0007822,0.0007822,0.0007822
24,332.938,0.87171,0.94554,1.18493,0.53744,0.64022,0.62445,0.43287,1.01136,1.24752,1.19084,0.0007723,0.0007723,0.0007723
25,346.173,0.83322,0.92864,1.16352,0.77337,0.68128,0.73371,0.54768,0.97458,1.07627,1.15066,0.0007624,0.0007624,0.0007624
26,361.06,0.84979,0.88716,1.16404,0.81587,0.62478,0.7465,0.55438,0.91803,1.0653,1.14447,0.0007525,0.0007525,0.0007525
27,378.009,0.83904,0.86141,1.16397,0.78116,0.62779,0.73648,0.53268,0.95536,1.0223,1.13859,0.0007426,0.0007426,0.0007426
28,389.63,0.82217,0.81158,1.14235,0.7459,0.70012,0.74343,0.53068,1.00961,0.94564,1.19504,0.0007327,0.0007327,0.0007327
29,403.297,0.82292,0.81989,1.15869,0.74884,0.71827,0.76275,0.57841,0.90182,0.90864,1.09453,0.0007228,0.0007228,0.0007228
30,415.805,0.78351,0.82382,1.13482,0.63548,0.69466,0.73587,0.55559,0.85704,0.92357,1.13296,0.0007129,0.0007129,0.0007129
31,431.992,0.79759,0.80191,1.13056,0.73961,0.60076,0.73192,0.52553,0.915,0.99466,1.18429,0.000703,0.000703,0.000703
32,444.743,0.76981,0.78606,1.12053,0.68566,0.60173,0.6928,0.48364,0.95436,1.10191,1.22007,0.0006931,0.0006931,0.0006931
33,457.891,0.7826,0.79831,1.11972,0.76338,0.68757,0.75944,0.57469,0.86737,0.9109,1.19171,0.0006832,0.0006832,0.0006832
34,470.471,0.77165,0.78279,1.10709,0.79027,0.67862,0.76846,0.56893,0.91884,0.93565,1.18212,0.0006733,0.0006733,0.0006733
35,484.565,0.76553,0.7734,1.12517,0.81726,0.65253,0.7789,0.57284,0.89745,0.86715,1.10088,0.0006634,0.0006634,0.0006634
36,497.663,0.74465,0.76313,1.11038,0.77602,0.59586,0.7012,0.51856,0.97583,1.1235,1.16655,0.0006535,0.0006535,0.0006535
37,510.155,0.74278,0.74665,1.0903,0.78716,0.69138,0.78817,0.57409,0.95443,0.89358,1.15252,0.0006436,0.0006436,0.0006436
38,522.962,0.78949,0.77839,1.1179,0.76963,0.67848,0.74064,0.53253,0.98845,1.00594,1.12718,0.0006337,0.0006337,0.0006337
39,538.432,0.74913,0.7357,1.09932,0.85365,0.66032,0.77649,0.57876,0.90783,0.95714,1.10362,0.0006238,0.0006238,0.0006238
40,551.808,0.73942,0.72624,1.08324,0.78347,0.68951,0.77888,0.60325,0.81786,0.89973,1.1004,0.0006139,0.0006139,0.0006139
41,564.36,0.72411,0.71155,1.07588,0.81386,0.6461,0.75727,0.57538,0.91702,0.93731,1.09555,0.000604,0.000604,0.000604
42,577.96,0.73323,0.71636,1.10016,0.72481,0.68357,0.75569,0.5714,0.90598,0.87263,1.09387,0.0005941,0.0005941,0.0005941
43,595.041,0.72923,0.67874,1.08319,0.78645,0.6456,0.7541,0.55964,1.00322,0.96029,1.12716,0.0005842,0.0005842,0.0005842
44,607.137,0.72432,0.68109,1.0861,0.73248,0.71272,0.76696,0.59357,0.83693,0.89236,1.05985,0.0005743,0.0005743,0.0005743
45,620.217,0.71963,0.66398,1.08436,0.78798,0.73594,0.79584,0.60306,0.87241,0.84781,1.08111,0.0005644,0.0005644,0.0005644
46,632.832,0.72473,0.65626,1.07557,0.73208,0.74557,0.78431,0.59997,0.88866,0.92279,1.09671,0.0005545,0.0005545,0.0005545
47,647.589,0.72942,0.67762,1.09134,0.80608,0.71964,0.79141,0.60893,0.80946,0.85138,1.06042,0.0005446,0.0005446,0.0005446
48,662.608,0.70885,0.6409,1.07252,0.7934,0.6994,0.78826,0.60852,0.81783,0.8413,1.08045,0.0005347,0.0005347,0.0005347
49,677.119,0.68778,0.64982,1.06679,0.86681,0.70423,0.80469,0.6329,0.82631,0.76566,1.04316,0.0005248,0.0005248,0.0005248
50,689.839,0.71179,0.65661,1.09372,0.78219,0.70989,0.79917,0.60014,0.95172,0.8566,1.10147,0.0005149,0.0005149,0.0005149
51,707.298,0.71356,0.64891,1.06999,0.7108,0.73994,0.74377,0.55537,0.88131,0.97872,1.11197,0.000505,0.000505,0.000505
52,719.173,0.70523,0.6265,1.07719,0.7362,0.66955,0.76288,0.58073,0.87207,0.9562,1.11517,0.0004951,0.0004951,0.0004951
53,732.606,0.70772,0.64584,1.07373,0.80072,0.69554,0.79742,0.60539,0.87471,0.87415,1.07622,0.0004852,0.0004852,0.0004852
54,748.005,0.67854,0.63655,1.0626,0.80801,0.6957,0.80576,0.60811,0.90628,0.80087,1.10812,0.0004753,0.0004753,0.0004753
55,765.253,0.69001,0.60486,1.05764,0.85865,0.68689,0.81865,0.6141,0.90593,0.76737,1.13136,0.0004654,0.0004654,0.0004654
56,776.278,0.6763,0.60255,1.05574,0.86912,0.69639,0.81357,0.60446,0.93293,0.80256,1.15449,0.0004555,0.0004555,0.0004555
57,791.512,0.67242,0.5968,1.05937,0.85241,0.74959,0.82327,0.61003,0.96778,0.83635,1.14875,0.0004456,0.0004456,0.0004456
58,804.258,0.65041,0.58198,1.02894,0.76137,0.73567,0.79015,0.61493,0.85153,0.82887,1.07802,0.0004357,0.0004357,0.0004357
59,817.913,0.66005,0.58627,1.03936,0.79403,0.73895,0.80787,0.64725,0.76615,0.7791,1.04252,0.0004258,0.0004258,0.0004258
60,830.053,0.66395,0.59994,1.04846,0.8726,0.68193,0.81724,0.63016,0.86169,0.79227,1.09807,0.0004159,0.0004159,0.0004159
61,844.982,0.6593,0.58836,1.04612,0.79876,0.739,0.80635,0.61138,0.87304,0.80538,1.08259,0.000406,0.000406,0.000406
62,858.807,0.65198,0.59367,1.04314,0.88462,0.67158,0.8129,0.63697,0.86014,0.82603,1.11054,0.0003961,0.0003961,0.0003961
63,871.493,0.65182,0.57911,1.05039,0.85278,0.70998,0.81129,0.64273,0.84187,0.83081,1.10889,0.0003862,0.0003862,0.0003862
64,885.851,0.66696,0.57555,1.04744,0.85805,0.7186,0.82005,0.63429,0.87675,0.83989,1.12755,0.0003763,0.0003763,0.0003763
65,900.749,0.64352,0.54705,1.03654,0.83183,0.70795,0.81981,0.6367,0.83398,0.82002,1.13815,0.0003664,0.0003664,0.0003664
66,913.198,0.65039,0.57284,1.0249,0.85877,0.71862,0.83814,0.64834,0.8223,0.81372,1.05802,0.0003565,0.0003565,0.0003565
67,926.349,0.65138,0.56351,1.03658,0.85144,0.71858,0.83314,0.63221,0.84975,0.8364,1.07284,0.0003466,0.0003466,0.0003466
68,939.946,0.65181,0.56117,1.03646,0.83917,0.71842,0.80779,0.61446,0.9018,0.8478,1.09912,0.0003367,0.0003367,0.0003367
69,956.13,0.64401,0.56299,1.04964,0.79446,0.71903,0.78968,0.61879,0.84108,0.87282,1.11764,0.0003268,0.0003268,0.0003268
70,969.172,0.62028,0.53264,1.01841,0.77416,0.7137,0.77684,0.59953,0.86828,0.89358,1.10358,0.0003169,0.0003169,0.0003169
71,982.173,0.61518,0.5243,1.02538,0.82048,0.69265,0.79202,0.61737,0.89239,0.92629,1.1447,0.000307,0.000307,0.000307
72,995.507,0.61449,0.53371,1.02028,0.85478,0.67728,0.79831,0.61488,0.83355,0.83338,1.14172,0.0002971,0.0002971,0.0002971
73,1012.27,0.62502,0.53605,1.0355,0.83109,0.73174,0.80202,0.62614,0.84236,0.84011,1.15257,0.0002872,0.0002872,0.0002872
74,1026.31,0.61691,0.54324,1.02161,0.86104,0.70343,0.81365,0.63725,0.80829,0.81085,1.13696,0.0002773,0.0002773,0.0002773
75,1038.82,0.6134,0.50876,1.01062,0.84637,0.70651,0.81317,0.62823,0.83242,0.81305,1.09659,0.0002674,0.0002674,0.0002674
76,1051,0.58797,0.4966,1.01352,0.85126,0.71044,0.829,0.64492,0.77522,0.73356,1.02464,0.0002575,0.0002575,0.0002575
77,1067.67,0.61503,0.51003,1.03232,0.84912,0.69745,0.8188,0.63508,0.82894,0.81728,1.04349,0.0002476,0.0002476,0.0002476
78,1079.36,0.60787,0.51728,1.01377,0.84227,0.75178,0.82621,0.63858,0.80981,0.79049,1.04713,0.0002377,0.0002377,0.0002377
79,1093.16,0.60659,0.51573,1.01424,0.8147,0.73762,0.82309,0.63561,0.84463,0.78902,1.06642,0.0002278,0.0002278,0.0002278
80,1108.1,0.58657,0.49038,1.00427,0.86965,0.67736,0.80661,0.63519,0.79407,0.81405,1.04182,0.0002179,0.0002179,0.0002179
81,1120.56,0.58036,0.48757,1.01948,0.85861,0.69789,0.80786,0.62597,0.87325,0.84905,1.11871,0.000208,0.000208,0.000208
82,1133.23,0.5933,0.48422,1.0094,0.82445,0.73349,0.82286,0.64727,0.82982,0.82917,1.08112,0.0001981,0.0001981,0.0001981
83,1147.88,0.58199,0.48178,1.00781,0.80567,0.75824,0.82249,0.64155,0.85561,0.80521,1.09446,0.0001882,0.0001882,0.0001882
84,1162.33,0.59803,0.49278,1.01134,0.80567,0.74135,0.81608,0.63512,0.84875,0.8166,1.11823,0.0001783,0.0001783,0.0001783
85,1176.37,0.5817,0.47708,1.00092,0.85807,0.69897,0.81829,0.64037,0.81407,0.77916,1.11028,0.0001684,0.0001684,0.0001684
86,1190.54,0.57184,0.47081,1.00163,0.8511,0.70578,0.81942,0.63579,0.85215,0.79281,1.09748,0.0001585,0.0001585,0.0001585
