epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.789,1.37625,3.20477,1.54073,0.00579,0.67795,0.24336,0.18955,0.79522,3.34342,1.06172,0.00022864,0.00022864,0.00022864
2,1224.96,1.06824,2.18328,1.33631,0.94787,0.0581,0.3749,0.25622,0.98535,3.09447,1.19823,0.000466901,0.000466901,0.000466901
3,1801.81,1.07884,1.90395,1.33451,0.61482,0.39408,0.4561,0.28603,1.2071,2.69085,1.40325,0.000700353,0.000700353,0.000700353
4,2302.43,1.03444,1.72319,1.28245,0.56516,0.24584,0.35935,0.21399,1.30046,3.00729,1.49333,0.000928994,0.000928994,0.000928994
5,2781.82,1.0364,1.64408,1.30083,0.60543,0.35514,0.41857,0.24315,1.34,2.63834,1.55732,0.00115283,0.00115283,0.00115283
6,3287.83,1.05286,1.61102,1.30764,0.66018,0.56954,0.57549,0.38199,1.16961,1.88014,1.41087,0.00135826,0.00135826,0.00135826
7,3813.96,1.05189,1.57173,1.29808,0.53274,0.49608,0.49651,0.30074,1.25571,2.57575,1.4288,0.00134412,0.00134412,0.00134412
8,4397.22,1.0812,1.50723,1.31243,0.25886,0.41384,0.30961,0.13424,1.75374,3.18121,2.16834,0.00132997,0.00132997,0.00132997
9,4883.03,1.04588,1.45974,1.29479,0.46893,0.47763,0.42118,0.27197,1.21625,2.22686,1.43067,0.00131582,0.00131582,0.00131582
10,5386.92,1.03212,1.37559,1.2887,0.56368,0.40645,0.40111,0.23525,1.30315,2.1464,1.48395,0.00130168,0.00130168,0.00130168
11,5857.92,1.02462,1.33482,1.28671,0.63643,0.56963,0.61436,0.42963,1.10146,1.64081,1.34584,0.00128753,0.00128753,0.00128753
12,6343.82,1.00694,1.30743,1.26121,0.67317,0.4931,0.549,0.35221,1.22938,1.81968,1.39766,0.00127338,0.00127338,0.00127338
13,6825.82,0.97463,1.25148,1.24998,0.37039,0.52603,0.41258,0.25424,1.20122,1.89259,1.39746,0.00125923,0.00125923,0.00125923
14,7338.53,0.98777,1.21397,1.24955,0.64482,0.52511,0.55013,0.38001,1.0261,1.90117,1.20939,0.00124509,0.00124509,0.00124509
15,7863.68,1.00866,1.26454,1.25926,0.68538,0.56292,0.61918,0.41962,1.01894,1.48734,1.25034,0.00123094,0.00123094,0.00123094
16,8341.52,0.96202,1.17544,1.22083,0.54257,0.55287,0.53912,0.33834,1.06645,1.6646,1.24524,0.00121679,0.00121679,0.00121679
