epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4644,1.87201,3.57019,1.8089,0.00202,0.34086,0.00508,0.00106,2.79228,4.24101,3.27558,0.084016,1.6e-05,1.6e-05
2,33.7465,1.48338,2.81202,1.48578,0.00236,0.18082,0.00696,0.00157,2.6065,4.14186,3.26202,0.0670327,3.26733e-05,3.26733e-05
3,45.6151,1.41092,2.40905,1.45852,0.00417,0.57597,0.07698,0.02728,2.25142,3.64688,2.19641,0.050049,4.901e-05,4.901e-05
4,57.1062,1.35588,2.24385,1.43623,0.01017,0.75956,0.1826,0.08021,1.80767,3.25303,1.69341,0.033065,6.50101e-05,6.50101e-05
5,71.5695,1.38025,2.15261,1.44236,0.11198,0.65935,0.2673,0.12594,1.78607,2.90929,1.68553,0.0160807,8.06736e-05,8.06736e-05
6,82.0782,1.38006,2.00473,1.4419,0.47644,0.3821,0.38706,0.19561,1.84535,2.20541,1.70719,9.505e-05,9.505e-05,9.505e-05
7,93.0316,1.32985,1.88269,1.39721,0.55031,0.47592,0.47721,0.23991,1.80957,1.83873,1.66868,9.406e-05,9.406e-05,9.406e-05
8,106.446,1.28813,1.77152,1.38911,0.53709,0.48578,0.50072,0.24736,1.81702,1.67967,1.68141,9.307e-05,9.307e-05,9.307e-05
9,120.358,1.31075,1.72357,1.37229,0.68832,0.50983,0.55073,0.28943,1.70653,1.57209,1.56155,9.208e-05,9.208e-05,9.208e-05
10,130.701,1.2753,1.70106,1.37096,0.54271,0.52899,0.54651,0.25281,1.95171,1.57402,1.76306,9.109e-05,9.109e-05,9.109e-05
11,143.124,1.28912,1.62706,1.34927,0.65154,0.5367,0.59021,0.25343,2.00649,1.60189,1.88415,9.01e-05,9.01e-05,9.01e-05
12,154.161,1.28208,1.59616,1.37116,0.56591,0.51125,0.54209,0.304,1.62543,1.52191,1.51788,8.911e-05,8.911e-05,8.911e-05
13,167.178,1.27617,1.59349,1.34761,0.60494,0.56445,0.61182,0.31991,1.76461,1.45896,1.62172,8.812e-05,8.812e-05,8.812e-05
14,178.828,1.2582,1.53912,1.32954,0.54654,0.58593,0.60691,0.30831,1.77347,1.47568,1.61734,8.713e-05,8.713e-05,8.713e-05
15,193.88,1.23392,1.48382,1.33434,0.73886,0.4769,0.60026,0.2881,1.91599,1.45879,1.7582,8.614e-05,8.614e-05,8.614e-05
16,204.318,1.22448,1.47244,1.33758,0.58142,0.48576,0.55641,0.29578,1.69743,1.44239,1.54353,8.515e-05,8.515e-05,8.515e-05
17,216.244,1.21402,1.44541,1.30799,0.64553,0.54839,0.61269,0.314,1.80024,1.33861,1.60638,8.416e-05,8.416e-05,8.416e-05
18,228.599,1.22709,1.43067,1.33451,0.56306,0.58891,0.60145,0.33069,1.63216,1.3151,1.49298,8.317e-05,8.317e-05,8.317e-05
19,242.331,1.19781,1.45263,1.31068,0.61346,0.5685,0.6122,0.32334,1.72026,1.29169,1.54175,8.218e-05,8.218e-05,8.218e-05
20,255.2,1.18427,1.39716,1.30948,0.66383,0.57439,0.63011,0.35221,1.56721,1.25423,1.42085,8.119e-05,8.119e-05,8.119e-05
21,267.314,1.21483,1.41087,1.33246,0.72752,0.55512,0.65008,0.34687,1.70665,1.29789,1.53336,8.02e-05,8.02e-05,8.02e-05
22,277.015,1.19575,1.37719,1.31231,0.75877,0.5383,0.63872,0.31785,1.82539,1.33246,1.67602,7.921e-05,7.921e-05,7.921e-05
23,290.377,1.16742,1.3352,1.29086,0.75043,0.5927,0.67201,0.34734,1.81943,1.25886,1.67735,7.822e-05,7.822e-05,7.822e-05
24,301.836,1.19523,1.36579,1.30885,0.75684,0.58521,0.69222,0.34735,1.86808,1.33114,1.71456,7.723e-05,7.723e-05,7.723e-05
25,314.347,1.1811,1.35482,1.29736,0.66144,0.62731,0.67719,0.3871,1.58121,1.24721,1.44402,7.624e-05,7.624e-05,7.624e-05
26,327.926,1.15615,1.32076,1.26616,0.68594,0.53755,0.62569,0.35426,1.53809,1.29165,1.43643,7.525e-05,7.525e-05,7.525e-05
27,342.871,1.20398,1.30817,1.29942,0.75295,0.55093,0.65913,0.37409,1.5203,1.22169,1.42845,7.426e-05,7.426e-05,7.426e-05
28,352.979,1.14724,1.27155,1.25071,0.75713,0.59026,0.68995,0.4026,1.45173,1.15153,1.3809,7.327e-05,7.327e-05,7.327e-05
29,365.83,1.17523,1.27044,1.30653,0.82261,0.59749,0.71942,0.40945,1.5675,1.12587,1.45662,7.228e-05,7.228e-05,7.228e-05
30,376.647,1.11458,1.21302,1.27269,0.7915,0.58646,0.70117,0.41858,1.43931,1.13843,1.36888,7.129e-05,7.129e-05,7.129e-05
31,391.986,1.13317,1.22456,1.27435,0.80945,0.56876,0.71179,0.40521,1.55196,1.15056,1.44844,7.03e-05,7.03e-05,7.03e-05
32,402.665,1.14574,1.25402,1.26329,0.7444,0.58412,0.6979,0.40627,1.53018,1.14513,1.45781,6.931e-05,6.931e-05,6.931e-05
33,414.915,1.11541,1.2455,1.24004,0.74909,0.59735,0.69652,0.41506,1.45162,1.12946,1.43198,6.832e-05,6.832e-05,6.832e-05
34,427.645,1.12037,1.22078,1.24269,0.75327,0.60917,0.70508,0.40992,1.52482,1.12712,1.48123,6.733e-05,6.733e-05,6.733e-05
35,440.393,1.10213,1.2047,1.24479,0.74065,0.60658,0.69807,0.43458,1.41577,1.09659,1.36667,6.634e-05,6.634e-05,6.634e-05
36,451.137,1.0928,1.1771,1.23722,0.73423,0.61247,0.70973,0.38616,1.59938,1.10624,1.49693,6.535e-05,6.535e-05,6.535e-05
37,463.809,1.11185,1.19703,1.243,0.73877,0.62604,0.7094,0.43077,1.37181,1.04577,1.31301,6.436e-05,6.436e-05,6.436e-05
38,475.133,1.11333,1.18689,1.23577,0.70838,0.63828,0.71753,0.38651,1.60791,1.14025,1.48178,6.337e-05,6.337e-05,6.337e-05
39,487.152,1.11856,1.17399,1.25552,0.72912,0.64735,0.7192,0.39387,1.6432,1.11483,1.51022,6.238e-05,6.238e-05,6.238e-05
40,499.591,1.0954,1.13561,1.22704,0.73818,0.6624,0.73261,0.42174,1.55155,1.10249,1.46815,6.139e-05,6.139e-05,6.139e-05
41,514.012,1.09756,1.14267,1.222,0.7663,0.61254,0.7207,0.43968,1.41298,1.06333,1.36629,6.04e-05,6.04e-05,6.04e-05
42,526.366,1.0822,1.14487,1.23132,0.78921,0.59799,0.72278,0.44676,1.36927,1.07594,1.34386,5.941e-05,5.941e-05,5.941e-05
43,539.352,1.1019,1.15376,1.23251,0.77131,0.56828,0.71396,0.44059,1.3564,1.06216,1.33446,5.842e-05,5.842e-05,5.842e-05
44,551.752,1.04783,1.10385,1.20444,0.75485,0.59272,0.72415,0.42258,1.44423,1.05795,1.38865,5.743e-05,5.743e-05,5.743e-05
45,566.091,1.06052,1.11704,1.21671,0.74911,0.60571,0.71704,0.42974,1.38814,1.0572,1.34291,5.644e-05,5.644e-05,5.644e-05
46,578.492,1.0491,1.06241,1.1976,0.77108,0.59285,0.71068,0.42601,1.39369,1.07062,1.33585,5.545e-05,5.545e-05,5.545e-05
47,590.771,1.09559,1.12353,1.24532,0.82166,0.61073,0.73682,0.43576,1.48204,1.03333,1.4197,5.446e-05,5.446e-05,5.446e-05
48,602.595,1.06204,1.09323,1.22801,0.86452,0.59321,0.73253,0.44996,1.36118,1.02499,1.33168,5.347e-05,5.347e-05,5.347e-05
49,617.454,1.09103,1.10791,1.2347,0.75122,0.63641,0.72878,0.45205,1.30772,1.00214,1.29357,5.248e-05,5.248e-05,5.248e-05
50,628.707,1.06463,1.11157,1.23695,0.80958,0.62122,0.73473,0.45624,1.27569,0.98705,1.27631,5.149e-05,5.149e-05,5.149e-05
51,642.905,1.07933,1.09543,1.2237,0.79368,0.61983,0.7271,0.4525,1.29746,0.98688,1.28187,5.05e-05,5.05e-05,5.05e-05
52,653.698,1.09585,1.08915,1.24684,0.83221,0.61691,0.744,0.44511,1.41051,1.0097,1.348,4.951e-05,4.951e-05,4.951e-05
53,666.227,1.0619,1.09397,1.21906,0.83344,0.61163,0.74202,0.45478,1.3261,1.00152,1.29687,4.852e-05,4.852e-05,4.852e-05
