epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5972,1.53378,3.49254,1.51763,0.00222,0.31247,0.00798,0.00214,2.93163,4.04143,3.41619,0.084016,1.6e-05,1.6e-05
2,33.5429,1.21304,2.65986,1.29234,0.0024,0.25526,0.02708,0.00664,2.32587,4.0975,3.03444,0.0670327,3.26733e-05,3.26733e-05
3,45.5199,1.11329,2.27304,1.26282,0.00878,0.44646,0.12963,0.07241,1.60958,3.83271,1.86352,0.050049,4.901e-05,4.901e-05
4,57.5355,1.10044,2.10693,1.28598,0.03076,0.65528,0.23349,0.17119,0.94483,3.26625,1.18909,0.033065,6.50101e-05,6.50101e-05
5,71.7067,1.0765,1.98112,1.25121,0.6347,0.21687,0.34225,0.2509,0.90979,2.64007,1.12716,0.0160807,8.06736e-05,8.06736e-05
6,82.5206,1.08897,1.82125,1.24522,0.47117,0.4283,0.44706,0.33092,0.96567,2.1012,1.14433,9.505e-05,9.505e-05,9.505e-05
7,94.1991,1.0277,1.70985,1.20965,0.5791,0.47753,0.5263,0.40051,0.90068,1.82953,1.13962,9.406e-05,9.406e-05,9.406e-05
8,106.359,1.00622,1.60363,1.20833,0.56455,0.54852,0.57912,0.43582,0.94977,1.48402,1.17242,9.307e-05,9.307e-05,9.307e-05
9,120.859,1.02699,1.5368,1.21233,0.68927,0.51248,0.61008,0.45964,0.89702,1.35054,1.14503,9.208e-05,9.208e-05,9.208e-05
10,131.824,0.96837,1.48766,1.19167,0.75724,0.54889,0.62831,0.46368,0.93949,1.29262,1.13249,9.109e-05,9.109e-05,9.109e-05
11,143.673,0.99312,1.42878,1.17082,0.63346,0.5853,0.62078,0.459,0.88915,1.25722,1.10459,9.01e-05,9.01e-05,9.01e-05
12,154.477,0.97815,1.397,1.18228,0.71565,0.56905,0.64806,0.48573,0.8993,1.29771,1.12508,8.911e-05,8.911e-05,8.911e-05
13,167.989,0.9579,1.35797,1.1513,0.69728,0.59502,0.67254,0.51667,0.84949,1.16161,1.13429,8.812e-05,8.812e-05,8.812e-05
14,179.462,0.95398,1.30426,1.15196,0.72671,0.59186,0.67272,0.5002,0.97957,1.23922,1.15148,8.713e-05,8.713e-05,8.713e-05
15,194.17,0.92923,1.26299,1.14625,0.8322,0.57352,0.68916,0.52889,0.85033,1.1362,1.10857,8.614e-05,8.614e-05,8.614e-05
16,204.72,0.90983,1.22964,1.14418,0.68219,0.6532,0.70237,0.51805,0.8846,1.12208,1.10822,8.515e-05,8.515e-05,8.515e-05
17,215.469,0.91376,1.20388,1.12777,0.7846,0.58829,0.71042,0.54233,0.8444,1.10889,1.10409,8.416e-05,8.416e-05,8.416e-05
18,228.545,0.92044,1.20172,1.14513,0.71225,0.61454,0.68315,0.5154,0.83187,1.07459,1.10463,8.317e-05,8.317e-05,8.317e-05
19,242.438,0.93199,1.21237,1.15389,0.72447,0.67215,0.72394,0.54155,0.92509,1.07932,1.1182,8.218e-05,8.218e-05,8.218e-05
20,254.274,0.86922,1.14957,1.1165,0.74325,0.63723,0.72381,0.56154,0.81552,1.04092,1.08506,8.119e-05,8.119e-05,8.119e-05
21,266.131,0.90576,1.13819,1.13006,0.76243,0.64295,0.72389,0.5527,0.9087,1.04711,1.11118,8.02e-05,8.02e-05,8.02e-05
22,277.013,0.91436,1.12252,1.14555,0.70771,0.66742,0.71536,0.55628,0.82927,1.0131,1.08148,7.921e-05,7.921e-05,7.921e-05
23,288.681,0.87891,1.09778,1.10561,0.77558,0.60883,0.71719,0.55193,0.88767,1.05314,1.09839,7.822e-05,7.822e-05,7.822e-05
24,300.83,0.89238,1.11818,1.12904,0.73125,0.63656,0.73269,0.55446,0.89701,1.04755,1.09962,7.723e-05,7.723e-05,7.723e-05
25,313.107,0.90534,1.09328,1.13051,0.72355,0.67375,0.72527,0.55399,0.85136,1.00354,1.08603,7.624e-05,7.624e-05,7.624e-05
26,325.75,0.88565,1.09128,1.10835,0.67694,0.66154,0.71995,0.54373,0.93081,1.0879,1.11747,7.525e-05,7.525e-05,7.525e-05
27,339.929,0.87633,1.0568,1.10931,0.77724,0.62613,0.69812,0.5324,0.79793,0.98684,1.05734,7.426e-05,7.426e-05,7.426e-05
28,351.712,0.87229,1.01335,1.1024,0.69862,0.69972,0.73315,0.55704,0.84035,0.96213,1.06602,7.327e-05,7.327e-05,7.327e-05
29,363.303,0.87788,1.0281,1.11715,0.7056,0.67565,0.71685,0.55842,0.7947,1.00597,1.06757,7.228e-05,7.228e-05,7.228e-05
30,375.342,0.84687,0.98516,1.10028,0.73581,0.64796,0.71651,0.54362,0.84325,0.98256,1.09608,7.129e-05,7.129e-05,7.129e-05
31,388.254,0.82586,0.93767,1.09382,0.7574,0.6471,0.7257,0.54873,0.85265,0.98518,1.08975,7.03e-05,7.03e-05,7.03e-05
32,399.775,0.86041,0.98137,1.09905,0.77105,0.65842,0.74329,0.55517,0.92616,1.02011,1.10583,6.931e-05,6.931e-05,6.931e-05
33,414.008,0.86158,0.97678,1.0923,0.71641,0.67942,0.7436,0.55958,0.89962,1.03169,1.10518,6.832e-05,6.832e-05,6.832e-05
34,426.87,0.83777,0.97999,1.08096,0.86558,0.62264,0.75538,0.58155,0.8376,0.95524,1.10165,6.733e-05,6.733e-05,6.733e-05
35,437.845,0.82591,0.97646,1.08813,0.85498,0.61656,0.74795,0.57526,0.87259,0.98889,1.11375,6.634e-05,6.634e-05,6.634e-05
36,450.132,0.80319,0.92606,1.07075,0.822,0.62507,0.73759,0.56927,0.86382,0.97372,1.09088,6.535e-05,6.535e-05,6.535e-05
37,461.121,0.83492,0.93025,1.08321,0.76795,0.63035,0.72947,0.55928,0.86011,0.94361,1.0909,6.436e-05,6.436e-05,6.436e-05
38,472.323,0.84807,0.95145,1.08281,0.74857,0.68327,0.7326,0.56018,0.84662,0.92122,1.08611,6.337e-05,6.337e-05,6.337e-05
39,485.964,0.86442,0.94689,1.10387,0.75145,0.69091,0.74541,0.57904,0.83515,0.90062,1.0699,6.238e-05,6.238e-05,6.238e-05
40,497.802,0.81695,0.89707,1.0639,0.71634,0.64257,0.71196,0.55136,0.80345,0.92699,1.05122,6.139e-05,6.139e-05,6.139e-05
41,511.763,0.82772,0.91306,1.0688,0.73451,0.70212,0.74593,0.56409,0.88114,0.93031,1.08446,6.04e-05,6.04e-05,6.04e-05
42,524.107,0.82239,0.92784,1.07042,0.75642,0.68308,0.74511,0.58906,0.79039,0.87151,1.04388,5.941e-05,5.941e-05,5.941e-05
43,536.754,0.82818,0.90708,1.06837,0.79826,0.68429,0.73786,0.57898,0.80288,0.88654,1.04498,5.842e-05,5.842e-05,5.842e-05
44,548.725,0.80362,0.86704,1.05566,0.81479,0.62843,0.75248,0.58248,0.84948,0.92372,1.07543,5.743e-05,5.743e-05,5.743e-05
45,562.702,0.79547,0.87538,1.06279,0.70473,0.71876,0.74312,0.58925,0.79706,0.88142,1.06359,5.644e-05,5.644e-05,5.644e-05
