epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2593,1.50988,3.49861,1.52316,0.00166,0.24919,0.00897,0.00251,3.12983,4.02628,3.76077,0.084016,1.6e-05,1.6e-05
2,34.4286,1.23371,2.66131,1.31949,0.00162,0.25051,0.02943,0.00702,2.62382,4.13993,3.2197,0.0670327,3.26733e-05,3.26733e-05
3,46.7254,1.13111,2.25563,1.28278,0.01845,0.43715,0.11388,0.05096,1.63737,4.05382,1.98933,0.050049,4.901e-05,4.901e-05
4,58.5314,1.11798,2.07569,1.29056,0.04151,0.58725,0.23048,0.15734,1.0484,3.53887,1.29582,0.033065,6.50101e-05,6.50101e-05
5,71.6589,1.08883,1.93079,1.25761,0.58529,0.24506,0.30252,0.2308,0.9331,2.66181,1.17082,0.0160807,8.06736e-05,8.06736e-05
6,82.6441,1.09916,1.82731,1.26562,0.49263,0.47082,0.42661,0.32273,0.91299,2.04903,1.14639,9.505e-05,9.505e-05,9.505e-05
7,93.9805,1.04043,1.68544,1.22772,0.51895,0.49038,0.4634,0.35129,0.88711,1.84807,1.14947,9.406e-05,9.406e-05,9.406e-05
8,106.142,1.02863,1.58199,1.21751,0.55634,0.49396,0.52103,0.40532,0.90295,1.55655,1.14098,9.307e-05,9.307e-05,9.307e-05
9,119.949,1.03247,1.5265,1.2164,0.62933,0.54002,0.5912,0.45919,0.87608,1.38562,1.11428,9.208e-05,9.208e-05,9.208e-05
10,130.794,0.98894,1.45318,1.20214,0.6133,0.52843,0.58075,0.44237,0.91436,1.34853,1.11966,9.109e-05,9.109e-05,9.109e-05
11,142.525,1.00063,1.41935,1.1828,0.6598,0.54744,0.60521,0.46112,0.89068,1.28638,1.12584,9.01e-05,9.01e-05,9.01e-05
12,154.149,0.98487,1.38984,1.19059,0.67575,0.5619,0.62747,0.47789,0.88587,1.26042,1.14172,8.911e-05,8.911e-05,8.911e-05
13,167.08,0.97693,1.36865,1.15788,0.63622,0.58567,0.63328,0.48485,0.90786,1.23417,1.15557,8.812e-05,8.812e-05,8.812e-05
14,179.649,0.97702,1.32069,1.16356,0.69115,0.57703,0.65968,0.50703,0.93879,1.26816,1.15137,8.713e-05,8.713e-05,8.713e-05
15,193.814,0.93256,1.2793,1.15534,0.77877,0.54221,0.67031,0.52377,0.88554,1.22065,1.1299,8.614e-05,8.614e-05,8.614e-05
16,205.533,0.92685,1.26623,1.15987,0.65438,0.59929,0.67052,0.51863,0.84705,1.21277,1.10361,8.515e-05,8.515e-05,8.515e-05
17,215.963,0.94015,1.22415,1.15159,0.73406,0.57897,0.68153,0.53053,0.85874,1.14546,1.0874,8.416e-05,8.416e-05,8.416e-05
18,228.628,0.94905,1.24261,1.17119,0.69709,0.58743,0.68332,0.53135,0.86248,1.09198,1.08458,8.317e-05,8.317e-05,8.317e-05
19,242.565,0.94918,1.23863,1.16817,0.79144,0.58411,0.70605,0.53841,0.87731,1.08837,1.06193,8.218e-05,8.218e-05,8.218e-05
20,254.676,0.89252,1.15563,1.13153,0.80244,0.58205,0.70451,0.54374,0.83286,1.07492,1.06863,8.119e-05,8.119e-05,8.119e-05
21,265.941,0.95094,1.17363,1.16447,0.76783,0.57605,0.69821,0.53729,0.8765,1.06848,1.09896,8.02e-05,8.02e-05,8.02e-05
22,279.253,0.9516,1.17146,1.16993,0.73697,0.61294,0.72262,0.55288,0.84716,1.06947,1.04607,7.921e-05,7.921e-05,7.921e-05
23,289.908,0.91044,1.13322,1.12786,0.66811,0.68208,0.70653,0.54607,0.83721,1.07726,1.03885,7.822e-05,7.822e-05,7.822e-05
24,302.647,0.94032,1.16337,1.16419,0.69749,0.60744,0.68172,0.49068,1.01827,1.22411,1.16618,7.723e-05,7.723e-05,7.723e-05
