epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5991,1.67565,3.19275,1.73501,0.00185,0.33903,0.00193,0.00068,2.99015,3.88801,3.02929,0.08416,0.00016,0.00016
2,36.355,1.31939,2.14493,1.4747,0.00503,0.63914,0.17402,0.06615,2.11357,3.53225,2.04127,0.0673267,0.000326733,0.000326733
3,49.163,1.24668,1.71,1.4428,0.45936,0.03606,0.04403,0.01307,2.31959,3.99985,2.77477,0.0504901,0.0004901,0.0004901
4,61.7519,1.25998,1.60929,1.44775,0.65839,0.36715,0.399,0.19802,1.75037,2.10239,1.70864,0.0336501,0.000650101,0.000650101
5,76.004,1.26273,1.50902,1.43095,0.50868,0.41069,0.47035,0.24735,1.68357,1.96903,1.70981,0.0168067,0.000806736,0.000806736
6,88.5951,1.25439,1.44703,1.44069,0.34295,0.39688,0.32627,0.14408,2.13751,2.35475,2.51788,0.0009505,0.0009505,0.0009505
7,99.6602,1.25321,1.42066,1.429,0.3002,0.38882,0.27109,0.12735,1.72964,3.77551,1.7958,0.0009406,0.0009406,0.0009406
8,113.056,1.22123,1.37379,1.40931,0.57357,0.53701,0.50647,0.26082,1.84526,2.14466,1.95848,0.0009307,0.0009307,0.0009307
9,129.473,1.23267,1.36535,1.4176,0.67569,0.53809,0.60224,0.32843,1.58458,1.62574,1.62848,0.0009208,0.0009208,0.0009208
10,140.83,1.21198,1.31237,1.42206,0.67067,0.51576,0.52729,0.27814,1.63318,1.61175,1.61508,0.0009109,0.0009109,0.0009109
11,153.542,1.20267,1.23139,1.39234,0.54574,0.57128,0.52877,0.26968,1.78589,1.60814,1.74182,0.000901,0.000901,0.000901
12,166.005,1.18787,1.24286,1.3893,0.64669,0.55512,0.59351,0.32661,1.5705,1.4213,1.54333,0.0008911,0.0008911,0.0008911
13,179.919,1.14862,1.19904,1.33239,0.66176,0.54783,0.56167,0.29917,1.60505,1.44872,1.60403,0.0008812,0.0008812,0.0008812
14,192.526,1.12701,1.22169,1.33324,0.60011,0.59451,0.60606,0.34715,1.4434,1.38434,1.5103,0.0008713,0.0008713,0.0008713
15,208.704,1.11468,1.14872,1.34483,0.51521,0.5187,0.5032,0.28438,1.53578,1.49027,1.58707,0.0008614,0.0008614,0.0008614
16,219.86,1.11379,1.11474,1.32426,0.64527,0.57087,0.63187,0.35643,1.43865,1.37833,1.47487,0.0008515,0.0008515,0.0008515
17,232.352,1.11793,1.10433,1.33723,0.56815,0.59472,0.56995,0.35942,1.29784,1.4631,1.37919,0.0008416,0.0008416,0.0008416
18,246.059,1.09661,1.08001,1.32487,0.49728,0.60742,0.51903,0.31485,1.37731,1.47899,1.46528,0.0008317,0.0008317,0.0008317
19,260.961,1.08003,1.05314,1.30332,0.72099,0.61584,0.67709,0.42094,1.32749,1.25306,1.34724,0.0008218,0.0008218,0.0008218
20,273.969,1.07636,1.05425,1.31057,0.74751,0.60383,0.68391,0.35295,1.76713,1.16032,1.75222,0.0008119,0.0008119,0.0008119
21,285.428,1.10102,1.0499,1.3424,0.64954,0.64794,0.66612,0.34037,1.75465,1.32823,1.81971,0.000802,0.000802,0.000802
22,297.655,1.09961,1.05536,1.33262,0.73982,0.59454,0.67165,0.36702,1.63822,1.33724,1.57582,0.0007921,0.0007921,0.0007921
23,311.863,1.04358,0.96713,1.29039,0.71192,0.65771,0.73003,0.43104,1.42898,1.12231,1.41101,0.0007822,0.0007822,0.0007822
24,324.643,1.06906,1.00192,1.30952,0.69972,0.66924,0.68975,0.37883,1.52616,1.19558,1.49039,0.0007723,0.0007723,0.0007723
25,337.506,1.03211,0.98872,1.28745,0.64817,0.59696,0.60717,0.35657,1.30133,1.38951,1.33843,0.0007624,0.0007624,0.0007624
26,351.615,1.03692,0.94986,1.27997,0.49686,0.57354,0.55682,0.33863,1.32062,1.3139,1.36172,0.0007525,0.0007525,0.0007525
27,368.085,1.06059,0.94288,1.28856,0.69154,0.6301,0.64749,0.43155,1.10911,1.08834,1.27238,0.0007426,0.0007426,0.0007426
28,379.342,1.02711,0.91051,1.26891,0.76585,0.63283,0.69009,0.42947,1.21049,1.193,1.35208,0.0007327,0.0007327,0.0007327
29,393.168,1.01889,0.92752,1.28326,0.78617,0.68128,0.73821,0.46011,1.33115,1.04651,1.35826,0.0007228,0.0007228,0.0007228
30,404.971,1.01848,0.92345,1.27835,0.79253,0.62828,0.73607,0.51515,1.00367,0.98643,1.19101,0.0007129,0.0007129,0.0007129
31,420.231,1.02779,0.91943,1.2742,0.8126,0.63182,0.7197,0.47499,1.19298,1.01369,1.26442,0.000703,0.000703,0.000703
32,432.63,0.99473,0.88524,1.24453,0.7249,0.6277,0.70323,0.37783,1.41933,1.1704,1.38785,0.0006931,0.0006931,0.0006931
33,446.006,0.97555,0.86216,1.24086,0.76616,0.68241,0.75386,0.48377,1.17346,1.01044,1.21733,0.0006832,0.0006832,0.0006832
34,459.272,0.97149,0.87382,1.22997,0.73843,0.63497,0.67615,0.47939,1.02775,1.05773,1.19513,0.0006733,0.0006733,0.0006733
35,471.632,0.98176,0.89052,1.2526,0.69317,0.59438,0.66202,0.45712,1.03184,1.27417,1.23664,0.0006634,0.0006634,0.0006634
36,484.88,0.97492,0.88063,1.24835,0.7555,0.60872,0.71855,0.46919,1.20077,1.0374,1.29848,0.0006535,0.0006535,0.0006535
37,497.857,0.96718,0.85294,1.24053,0.75052,0.68002,0.74437,0.46237,1.29796,1.05837,1.37298,0.0006436,0.0006436,0.0006436
38,509.676,0.97641,0.84552,1.23558,0.84691,0.64996,0.74935,0.4925,1.15019,1.01829,1.22117,0.0006337,0.0006337,0.0006337
39,523.353,0.95487,0.8312,1.2243,0.80003,0.67768,0.77262,0.52023,1.05807,0.99244,1.26291,0.0006238,0.0006238,0.0006238
40,536.961,0.94706,0.81864,1.21225,0.81964,0.67081,0.77534,0.52093,1.04669,0.96562,1.20281,0.0006139,0.0006139,0.0006139
41,550.868,0.94233,0.79567,1.21728,0.81325,0.70268,0.77381,0.51555,1.14204,0.99698,1.23052,0.000604,0.000604,0.000604
42,564.146,0.92049,0.78571,1.21463,0.791,0.69855,0.76191,0.48067,1.24239,0.96773,1.28365,0.0005941,0.0005941,0.0005941
43,578.67,0.92406,0.78235,1.1918,0.79295,0.6768,0.76473,0.49973,1.21302,1.01031,1.30324,0.0005842,0.0005842,0.0005842
44,590.734,0.91303,0.77371,1.192,0.80167,0.68378,0.75097,0.54437,0.9488,0.91288,1.10826,0.0005743,0.0005743,0.0005743
45,606.036,0.91807,0.75922,1.20142,0.81134,0.66639,0.76656,0.54308,1.00899,1.00054,1.22908,0.0005644,0.0005644,0.0005644
46,618.579,0.91614,0.74563,1.18296,0.78816,0.67883,0.77827,0.5052,1.21797,1.00736,1.27997,0.0005545,0.0005545,0.0005545
47,633.021,0.93499,0.7654,1.20798,0.89859,0.665,0.79143,0.55384,1.06129,0.95566,1.24157,0.0005446,0.0005446,0.0005446
48,645.87,0.91352,0.73179,1.19856,0.79662,0.719,0.79707,0.51259,1.25996,0.95751,1.35461,0.0005347,0.0005347,0.0005347
49,662.119,0.88364,0.72189,1.18014,0.82726,0.69485,0.792,0.53227,1.15693,0.94148,1.29971,0.0005248,0.0005248,0.0005248
