epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3177,1.74985,3.4379,1.69052,0.00344,0.53675,0.07918,0.03261,2.26819,3.47357,2.07405,0.08416,0.00016,0.00016
2,36.4365,1.42951,2.33128,1.46288,0.00418,0.35648,0.03888,0.01042,2.82888,4.00071,3.63042,0.0673267,0.000326733,0.000326733
3,50.334,1.343,1.93361,1.43915,0.47882,0.16431,0.10137,0.03793,2.23632,3.3965,2.50871,0.0504901,0.0004901,0.0004901
4,62.9438,1.28276,1.73687,1.41289,0.60096,0.28562,0.28869,0.13097,1.91472,2.65711,1.98084,0.0336501,0.000650101,0.000650101
5,76.8525,1.33298,1.65796,1.42286,0.65403,0.27908,0.32488,0.15516,1.89885,2.55313,1.87238,0.0168067,0.000806736,0.000806736
6,89.2626,1.33623,1.63004,1.42727,0.79999,0.2947,0.4044,0.19984,1.88871,2.36639,1.95515,0.0009505,0.0009505,0.0009505
7,101.802,1.30144,1.54172,1.40254,0.39835,0.23685,0.23382,0.1313,1.86692,2.74181,1.99695,0.0009406,0.0009406,0.0009406
8,115.789,1.27987,1.46224,1.39558,0.62135,0.53047,0.54522,0.27632,1.55196,1.69438,1.55772,0.0009307,0.0009307,0.0009307
9,129.956,1.31102,1.48863,1.39139,0.59579,0.45808,0.50474,0.23309,1.8916,2.12147,1.89757,0.0009208,0.0009208,0.0009208
10,143.374,1.26814,1.41211,1.40625,0.61465,0.57658,0.58003,0.30655,1.79186,1.66452,1.83979,0.0009109,0.0009109,0.0009109
11,155.185,1.27921,1.42119,1.36547,0.65842,0.61397,0.62645,0.34066,1.59974,1.42668,1.57921,0.000901,0.000901,0.000901
12,168.647,1.23266,1.35929,1.36362,0.58031,0.54765,0.55957,0.31044,1.61606,1.65727,1.65126,0.0008911,0.0008911,0.0008911
13,183.437,1.26681,1.33579,1.34628,0.6369,0.56563,0.60654,0.3277,1.54433,1.48164,1.55324,0.0008812,0.0008812,0.0008812
14,195.926,1.20315,1.3378,1.31214,0.70673,0.59418,0.64817,0.37765,1.44959,1.34049,1.48538,0.0008713,0.0008713,0.0008713
15,211.027,1.20338,1.28331,1.33594,0.47839,0.55924,0.53609,0.29465,1.62086,1.60501,1.60832,0.0008614,0.0008614,0.0008614
16,223.386,1.14406,1.21551,1.30772,0.63562,0.5786,0.60103,0.2852,1.86967,1.62339,1.72433,0.0008515,0.0008515,0.0008515
17,235.5,1.1768,1.17945,1.29669,0.56001,0.62779,0.58117,0.34734,1.43131,1.31723,1.48713,0.0008416,0.0008416,0.0008416
18,248.432,1.12775,1.18322,1.27734,0.48921,0.5726,0.4794,0.29872,1.27769,1.48579,1.33121,0.0008317,0.0008317,0.0008317
19,263.399,1.18301,1.24258,1.32413,0.58576,0.49705,0.50638,0.31632,1.34741,1.36765,1.36299,0.0008218,0.0008218,0.0008218
20,276.112,1.13166,1.15636,1.30189,0.64082,0.60545,0.62666,0.38613,1.3456,1.2591,1.3609,0.0008119,0.0008119,0.0008119
21,288.994,1.15912,1.16946,1.30767,0.67182,0.59019,0.62827,0.38521,1.35361,1.34636,1.36991,0.000802,0.000802,0.000802
22,301.851,1.14509,1.15642,1.31226,0.63675,0.65128,0.67726,0.43192,1.30602,1.23369,1.36576,0.0007921,0.0007921,0.0007921
23,315.092,1.0908,1.08471,1.26728,0.7069,0.66053,0.68098,0.43063,1.29739,1.44563,1.35091,0.0007822,0.0007822,0.0007822
24,326.831,1.11956,1.11709,1.27833,0.69274,0.61582,0.65419,0.37678,1.44205,1.27823,1.45585,0.0007723,0.0007723,0.0007723
25,340.472,1.11529,1.07783,1.27752,0.7267,0.57908,0.65707,0.38822,1.47917,1.39973,1.4487,0.0007624,0.0007624,0.0007624
26,354.87,1.1073,1.09652,1.25357,0.76095,0.59224,0.69467,0.38547,1.5653,1.20562,1.53012,0.0007525,0.0007525,0.0007525
27,370.341,1.11171,1.08997,1.27645,0.76486,0.57827,0.65547,0.38565,1.49976,1.21314,1.49618,0.0007426,0.0007426,0.0007426
28,382.571,1.07949,1.03631,1.24264,0.68922,0.6589,0.68369,0.42721,1.32179,1.21388,1.33968,0.0007327,0.0007327,0.0007327
29,395.849,1.08388,1.04197,1.25713,0.63236,0.69068,0.68988,0.42813,1.40052,1.21646,1.37803,0.0007228,0.0007228,0.0007228
30,408.102,1.0533,1.0057,1.24857,0.74642,0.63107,0.70843,0.47138,1.16102,1.12932,1.2468,0.0007129,0.0007129,0.0007129
31,423.304,1.06436,1.00407,1.25159,0.72264,0.6621,0.71921,0.48525,1.15069,1.13794,1.26799,0.000703,0.000703,0.000703
32,435.91,1.08005,1.02406,1.25138,0.70181,0.69604,0.72576,0.44494,1.29603,1.1443,1.36558,0.0006931,0.0006931,0.0006931
33,448.529,1.06937,1.00624,1.24249,0.77992,0.62012,0.72988,0.47104,1.30382,1.10156,1.34015,0.0006832,0.0006832,0.0006832
34,461.592,1.02885,0.99307,1.21417,0.70663,0.57479,0.63111,0.42686,1.18184,1.42423,1.32995,0.0006733,0.0006733,0.0006733
35,474.692,1.03435,0.99822,1.22241,0.66192,0.67096,0.66466,0.44382,1.14678,1.27162,1.34802,0.0006634,0.0006634,0.0006634
36,487.432,1.03514,0.96781,1.22558,0.69768,0.63738,0.68427,0.45268,1.18464,1.12847,1.32265,0.0006535,0.0006535,0.0006535
37,500.3,1.02414,0.93488,1.20767,0.71365,0.71087,0.7333,0.47527,1.21288,0.99174,1.26923,0.0006436,0.0006436,0.0006436
38,513.385,1.01929,0.93444,1.20447,0.78512,0.66244,0.74643,0.51642,1.10077,1.00591,1.21119,0.0006337,0.0006337,0.0006337
39,526.38,1.05447,0.95808,1.23521,0.73876,0.65269,0.68888,0.45568,1.28248,1.14537,1.33588,0.0006238,0.0006238,0.0006238
40,539.618,1.01502,0.91535,1.19682,0.70864,0.7323,0.74575,0.50548,1.16647,0.98673,1.27649,0.0006139,0.0006139,0.0006139
41,552.951,1.0216,0.91027,1.19204,0.77089,0.62506,0.71977,0.47187,1.22234,1.02655,1.27288,0.000604,0.000604,0.000604
42,566.327,1.00442,0.89598,1.19446,0.74326,0.67578,0.73545,0.48967,1.2071,1.01362,1.27587,0.0005941,0.0005941,0.0005941
43,580.924,1.00132,0.87372,1.18275,0.80394,0.65291,0.7402,0.47034,1.33364,0.98594,1.36925,0.0005842,0.0005842,0.0005842
44,593.913,0.97385,0.86576,1.1733,0.66433,0.66968,0.68209,0.47814,1.16614,1.1085,1.27241,0.0005743,0.0005743,0.0005743
45,607.17,0.98768,0.84782,1.1846,0.76004,0.68065,0.72272,0.51671,1.08611,0.95006,1.23047,0.0005644,0.0005644,0.0005644
46,620.122,0.95718,0.80269,1.15956,0.75579,0.67362,0.72586,0.49956,1.13725,1.01605,1.25423,0.0005545,0.0005545,0.0005545
47,634.81,0.97572,0.85795,1.19076,0.76902,0.64756,0.7072,0.48667,1.14764,1.07977,1.26759,0.0005446,0.0005446,0.0005446
48,647.113,0.97956,0.86036,1.18057,0.75672,0.70253,0.768,0.52157,1.21117,1.02905,1.29486,0.0005347,0.0005347,0.0005347
49,663.251,0.96903,0.83347,1.17527,0.72544,0.65848,0.71046,0.48148,1.17193,1.00578,1.27271,0.0005248,0.0005248,0.0005248
50,675.254,0.96213,0.82472,1.17888,0.76189,0.71239,0.78307,0.54434,1.10391,0.91837,1.22934,0.0005149,0.0005149,0.0005149
51,691.596,0.9526,0.81842,1.16296,0.79426,0.72126,0.78356,0.54566,1.08005,0.89732,1.21442,0.000505,0.000505,0.000505
52,703.494,0.9744,0.81926,1.17771,0.83398,0.70341,0.78604,0.5517,1.08011,0.88367,1.23339,0.0004951,0.0004951,0.0004951
53,717.632,0.9374,0.80589,1.1598,0.77947,0.72124,0.79274,0.55244,1.0781,0.88054,1.22242,0.0004852,0.0004852,0.0004852
54,731.904,0.93518,0.79462,1.16074,0.78006,0.64972,0.7495,0.52577,1.09892,0.98318,1.20686,0.0004753,0.0004753,0.0004753
55,747.56,0.93983,0.78476,1.15001,0.76003,0.74154,0.76966,0.55883,1.00494,0.88609,1.19165,0.0004654,0.0004654,0.0004654
56,758.533,0.94161,0.79344,1.15024,0.74354,0.70247,0.75512,0.53496,1.02813,0.85977,1.20031,0.0004555,0.0004555,0.0004555
57,774.123,0.92438,0.79445,1.16146,0.80214,0.67982,0.74586,0.48838,1.21924,1.01374,1.26737,0.0004456,0.0004456,0.0004456
58,785.552,0.91681,0.75169,1.12249,0.79251,0.70106,0.78019,0.53352,1.1154,0.86036,1.22264,0.0004357,0.0004357,0.0004357
59,800.009,0.93408,0.78505,1.15238,0.7702,0.67926,0.76349,0.53016,1.05943,0.8829,1.21583,0.0004258,0.0004258,0.0004258
60,811.913,0.92293,0.78079,1.14213,0.76259,0.71041,0.75971,0.55632,0.97014,0.87998,1.20174,0.0004159,0.0004159,0.0004159
61,825.012,0.93211,0.79061,1.14365,0.782,0.73277,0.79129,0.52273,1.18666,0.95866,1.28307,0.000406,0.000406,0.000406
62,837.517,0.9332,0.75999,1.1469,0.83396,0.69713,0.78729,0.55496,1.05748,0.90473,1.20268,0.0003961,0.0003961,0.0003961
63,851.286,0.9251,0.74847,1.15093,0.80609,0.70857,0.79106,0.57746,0.95553,0.84822,1.16725,0.0003862,0.0003862,0.0003862
64,864.905,0.9242,0.77323,1.14474,0.75081,0.71787,0.7575,0.53071,1.03105,0.97851,1.15055,0.0003763,0.0003763,0.0003763
65,878.003,0.92038,0.73948,1.14653,0.77169,0.72482,0.77711,0.57315,0.95269,0.88586,1.17228,0.0003664,0.0003664,0.0003664
66,890.863,0.91321,0.73958,1.12359,0.77642,0.70898,0.77871,0.57995,0.94914,0.90394,1.18624,0.0003565,0.0003565,0.0003565
67,902.756,0.91111,0.72059,1.11858,0.84974,0.67933,0.79281,0.58006,0.97029,0.88749,1.15696,0.0003466,0.0003466,0.0003466
68,916.415,0.91038,0.71384,1.13613,0.84885,0.70273,0.79783,0.5691,1.04322,0.85879,1.1952,0.0003367,0.0003367,0.0003367
69,931.235,0.90339,0.72206,1.13399,0.83166,0.69158,0.81503,0.58771,0.98807,0.81787,1.19196,0.0003268,0.0003268,0.0003268
70,944.094,0.8637,0.69353,1.11227,0.78765,0.70523,0.79119,0.54098,1.13894,0.86509,1.23341,0.0003169,0.0003169,0.0003169
71,957.678,0.87557,0.69272,1.12327,0.79367,0.68529,0.77572,0.55889,1.02297,0.85774,1.18893,0.000307,0.000307,0.000307
72,970.415,0.8988,0.72859,1.14013,0.8688,0.68632,0.79047,0.55047,1.07699,0.94762,1.20212,0.0002971,0.0002971,0.0002971
73,985.574,0.89173,0.72977,1.1411,0.82422,0.72816,0.8065,0.60015,0.9156,0.81332,1.1638,0.0002872,0.0002872,0.0002872
74,999.693,0.88789,0.70239,1.11203,0.84991,0.71388,0.79922,0.58977,0.99346,0.89534,1.18281,0.0002773,0.0002773,0.0002773
75,1012.09,0.86839,0.68272,1.09819,0.82025,0.73169,0.80059,0.59189,0.96519,0.96756,1.17022,0.0002674,0.0002674,0.0002674
76,1024.64,0.85729,0.65666,1.11653,0.81773,0.71845,0.81232,0.57875,1.04375,0.87862,1.21546,0.0002575,0.0002575,0.0002575
77,1039.71,0.90182,0.70203,1.13229,0.86903,0.72251,0.82108,0.58059,1.07223,0.83093,1.22432,0.0002476,0.0002476,0.0002476
78,1052.91,0.87145,0.68813,1.11731,0.8224,0.71559,0.81886,0.59223,0.97474,0.84517,1.17414,0.0002377,0.0002377,0.0002377
79,1067.37,0.87293,0.67214,1.119,0.79868,0.73793,0.82436,0.60811,0.95185,0.79585,1.17438,0.0002278,0.0002278,0.0002278
80,1085.01,0.85778,0.65141,1.1039,0.76252,0.75525,0.80722,0.58461,0.98519,0.80654,1.18877,0.0002179,0.0002179,0.0002179
81,1098.77,0.86422,0.64648,1.12751,0.82446,0.70394,0.79805,0.57381,1.04516,0.86663,1.21552,0.000208,0.000208,0.000208
82,1111.34,0.88419,0.68516,1.13673,0.82148,0.74633,0.80729,0.59946,0.94787,0.80873,1.17445,0.0001981,0.0001981,0.0001981
83,1126.48,0.87331,0.66621,1.12025,0.81313,0.73797,0.81072,0.58885,0.98514,0.83629,1.19134,0.0001882,0.0001882,0.0001882
84,1141.07,0.8684,0.67067,1.11891,0.79254,0.74537,0.80131,0.59992,0.92767,0.90764,1.16138,0.0001783,0.0001783,0.0001783
85,1155.28,0.82587,0.61717,1.08251,0.8177,0.7273,0.80637,0.59909,0.94741,0.91303,1.1754,0.0001684,0.0001684,0.0001684
86,1169.99,0.8499,0.6434,1.10561,0.80253,0.7522,0.80804,0.59306,0.94639,0.81341,1.17392,0.0001585,0.0001585,0.0001585
87,1182.41,0.84133,0.64711,1.0846,0.82834,0.72509,0.81185,0.6037,0.95563,0.82661,1.1803,0.0001486,0.0001486,0.0001486
88,1195.52,0.83066,0.64332,1.10007,0.86272,0.74399,0.82264,0.61075,0.96276,0.82822,1.17198,0.0001387,0.0001387,0.0001387
89,1209.05,0.83063,0.62944,1.08191,0.82405,0.73014,0.82025,0.62052,0.91372,0.83101,1.1463,0.0001288,0.0001288,0.0001288
90,1224.4,0.82027,0.62813,1.08403,0.80014,0.77789,0.82212,0.59892,0.97935,0.84438,1.18151,0.0001189,0.0001189,0.0001189
91,1250.83,0.71837,0.57371,1.08953,0.81982,0.76794,0.81807,0.59707,0.97858,0.83881,1.18882,0.000109,0.000109,0.000109
92,1265.35,0.70726,0.51279,1.07506,0.823,0.77077,0.82464,0.59261,1.02946,0.86171,1.22262,9.91e-05,9.91e-05,9.91e-05
93,1278.86,0.68209,0.49966,1.06172,0.79216,0.74856,0.80782,0.57728,1.0314,0.83159,1.22216,8.92e-05,8.92e-05,8.92e-05
