epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1869,1.76661,3.30264,1.806,0.00373,0.4338,0.029,0.01153,2.16573,3.80426,2.37276,0.08416,0.00016,0.00016
2,32.9889,1.35524,2.20243,1.48842,0.00453,0.51021,0.05788,0.01868,2.27683,3.79996,2.91861,0.0673256,0.000325644,0.000325644
3,44.6628,1.29967,1.78244,1.46663,0.50885,0.28536,0.31217,0.14799,1.95642,2.65774,2.28189,0.0504868,0.0004868,0.0004868
4,56.1119,1.29106,1.65912,1.46002,0.63238,0.39602,0.44818,0.20421,1.93038,2.09881,2.00588,0.0336435,0.000643468,0.000643468
5,68.7762,1.24396,1.54437,1.42272,0.61829,0.41474,0.45599,0.19467,2.04871,2.51902,2.14161,0.0167956,0.000795648,0.000795648
6,80.256,1.2871,1.51445,1.45744,0.49969,0.48742,0.47452,0.25522,1.50252,1.78057,1.54966,0.000934,0.000934,0.000934
7,90.2662,1.26358,1.45294,1.42847,0.69201,0.5432,0.60079,0.30825,1.53308,1.73644,1.59185,0.0009208,0.0009208,0.0009208
8,102.604,1.21296,1.39104,1.39959,0.62034,0.57898,0.60424,0.3462,1.50011,1.64871,1.60501,0.0009076,0.0009076,0.0009076
9,117.218,1.23902,1.40587,1.41361,0.55815,0.44599,0.47659,0.28987,1.29717,1.54629,1.40774,0.0008944,0.0008944,0.0008944
10,127.483,1.21354,1.37369,1.41116,0.63814,0.54727,0.58064,0.29323,1.80593,1.66326,1.85492,0.0008812,0.0008812,0.0008812
11,139.137,1.20005,1.29483,1.388,0.41228,0.49807,0.43691,0.2307,1.69117,1.88985,1.80893,0.000868,0.000868,0.000868
12,150.468,1.17253,1.2686,1.37443,0.58248,0.58152,0.60457,0.34548,1.46716,1.39174,1.52509,0.0008548,0.0008548,0.0008548
13,163.095,1.15849,1.23779,1.34383,0.55973,0.62877,0.57103,0.34576,1.29632,1.48798,1.35697,0.0008416,0.0008416,0.0008416
14,174.477,1.12744,1.22617,1.34222,0.62476,0.59105,0.61397,0.38823,1.1745,1.41069,1.33469,0.0008284,0.0008284,0.0008284
15,189.094,1.10251,1.16915,1.3328,0.51682,0.52374,0.54378,0.3085,1.46007,1.52437,1.47406,0.0008152,0.0008152,0.0008152
16,199.121,1.12355,1.15722,1.34218,0.77771,0.60233,0.68789,0.34524,1.58977,1.29344,1.56312,0.000802,0.000802,0.000802
17,210.388,1.11687,1.16537,1.33312,0.51339,0.62742,0.56382,0.33225,1.38707,1.49375,1.38876,0.0007888,0.0007888,0.0007888
18,222.822,1.07333,1.11388,1.30264,0.69753,0.61667,0.67639,0.43876,1.22715,1.22272,1.35061,0.0007756,0.0007756,0.0007756
19,236.2,1.10435,1.13404,1.3145,0.69422,0.58141,0.648,0.39274,1.38153,1.34857,1.36529,0.0007624,0.0007624,0.0007624
20,248.056,1.06438,1.08598,1.30098,0.66086,0.62887,0.64496,0.38327,1.42973,1.20856,1.43661,0.0007492,0.0007492,0.0007492
21,258.27,1.11055,1.08455,1.33232,0.62205,0.61868,0.5976,0.33765,1.45758,1.52896,1.46633,0.000736,0.000736,0.000736
22,269.834,1.09751,1.07831,1.31907,0.73421,0.61077,0.65561,0.41151,1.18559,1.21461,1.26703,0.0007228,0.0007228,0.0007228
23,282.243,1.03724,1.00009,1.28198,0.72559,0.60545,0.66874,0.42915,1.23354,1.22736,1.30238,0.0007096,0.0007096,0.0007096
24,293.685,1.0725,1.04567,1.29699,0.75356,0.59301,0.67605,0.41789,1.28799,1.146,1.35818,0.0006964,0.0006964,0.0006964
25,305.391,1.04623,1.01554,1.28041,0.74497,0.62989,0.72376,0.47806,1.14924,1.00279,1.28959,0.0006832,0.0006832,0.0006832
26,318.237,1.0307,0.97543,1.2561,0.63018,0.63332,0.6507,0.39595,1.34938,1.25987,1.38,0.00067,0.00067,0.00067
27,333.393,1.05187,0.97209,1.2813,0.70675,0.68043,0.70881,0.43474,1.37504,1.06463,1.44534,0.0006568,0.0006568,0.0006568
28,343.755,1.03428,0.93774,1.25721,0.81633,0.65688,0.75325,0.47107,1.31784,0.99331,1.36354,0.0006436,0.0006436,0.0006436
29,355.781,1.03231,0.95262,1.28136,0.7377,0.67725,0.73991,0.46886,1.31356,1.03766,1.37493,0.0006304,0.0006304,0.0006304
30,366.709,1.02134,0.94194,1.27133,0.74739,0.65556,0.74968,0.52997,1.04834,1.03334,1.2156,0.0006172,0.0006172,0.0006172
31,380.981,1.02249,0.93584,1.26087,0.79,0.66963,0.74675,0.50863,1.12383,1.11631,1.22557,0.000604,0.000604,0.000604
32,392.183,0.99063,0.90803,1.24242,0.7561,0.7092,0.7539,0.48504,1.23931,1.10022,1.28475,0.0005908,0.0005908,0.0005908
33,403.711,0.98483,0.89763,1.22816,0.81535,0.66074,0.748,0.49618,1.16756,1.09993,1.29188,0.0005776,0.0005776,0.0005776
34,415.452,0.97543,0.89515,1.22146,0.81315,0.60889,0.71358,0.49092,1.1341,1.09097,1.2576,0.0005644,0.0005644,0.0005644
35,427.434,1.00975,0.91604,1.25668,0.73137,0.68483,0.73167,0.50847,1.06836,1.04681,1.22881,0.0005512,0.0005512,0.0005512
36,439.271,0.9795,0.89392,1.23909,0.82037,0.64477,0.77088,0.53353,1.08324,0.98153,1.22338,0.000538,0.000538,0.000538
37,450.316,0.96022,0.86887,1.21609,0.78654,0.68893,0.79443,0.5613,0.99728,0.90961,1.12892,0.0005248,0.0005248,0.0005248
38,461.088,0.97822,0.86155,1.21317,0.75722,0.71692,0.76912,0.56928,0.94505,0.94839,1.11365,0.0005116,0.0005116,0.0005116
39,474.827,0.99652,0.87956,1.24149,0.76231,0.60438,0.70784,0.48897,1.08633,1.1481,1.24255,0.0004984,0.0004984,0.0004984
40,486.521,0.97302,0.86352,1.23047,0.74836,0.70518,0.76833,0.52999,1.10123,0.98595,1.26325,0.0004852,0.0004852,0.0004852
41,498.197,0.97299,0.84417,1.22107,0.75695,0.64079,0.72888,0.49725,1.10871,1.02425,1.1918,0.000472,0.000472,0.000472
42,509.967,0.94749,0.81001,1.20834,0.73978,0.6632,0.70015,0.47084,1.12271,1.04987,1.2308,0.0004588,0.0004588,0.0004588
43,524.692,0.95484,0.80631,1.20588,0.76935,0.64887,0.75206,0.51449,1.1184,1.05164,1.22885,0.0004456,0.0004456,0.0004456
44,535.389,0.90538,0.80501,1.17981,0.78231,0.68677,0.7547,0.53379,0.94212,0.98262,1.15823,0.0004324,0.0004324,0.0004324
45,547.783,0.93066,0.78445,1.19138,0.77398,0.67821,0.78146,0.53903,1.0629,0.90385,1.19496,0.0004192,0.0004192,0.0004192
46,559.156,0.93986,0.81282,1.19917,0.82582,0.67558,0.77456,0.53146,1.02257,0.8916,1.13996,0.000406,0.000406,0.000406
47,572.186,0.94366,0.81417,1.21043,0.84961,0.64569,0.76598,0.53149,0.98125,0.91386,1.19203,0.0003928,0.0003928,0.0003928
48,584.361,0.92522,0.77053,1.19678,0.87349,0.69518,0.80513,0.55086,1.08587,0.90425,1.15696,0.0003796,0.0003796,0.0003796
