epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5645,1.76445,3.30449,1.80469,0.00299,0.35635,0.0219,0.00489,2.84168,3.838,3.09377,0.08416,0.00016,0.00016
2,33.187,1.35346,2.20723,1.47497,0.00601,0.61058,0.24067,0.10594,1.76488,3.33571,1.85979,0.0673267,0.000326733,0.000326733
3,45.2435,1.28993,1.77505,1.45232,0.42485,0.25252,0.318,0.13656,2.11674,2.84839,2.22189,0.0504901,0.0004901,0.0004901
4,56.8839,1.28979,1.63116,1.44301,0.53461,0.41266,0.42728,0.20148,1.95654,2.23203,2.04643,0.0336501,0.000650101,0.000650101
5,69.1159,1.26457,1.5229,1.41891,0.51531,0.37207,0.38804,0.1647,2.11143,2.69033,2.16132,0.0168067,0.000806736,0.000806736
6,80.6584,1.28298,1.51925,1.44369,0.59057,0.48971,0.48801,0.24116,1.91508,2.01408,2.04267,0.0009505,0.0009505,0.0009505
7,91.4999,1.27877,1.4711,1.43679,0.48857,0.49238,0.45938,0.22314,1.81149,2.58239,1.91811,0.0009406,0.0009406,0.0009406
8,104.083,1.22295,1.36972,1.39136,0.70934,0.28727,0.29312,0.14046,1.88767,3.41614,1.93463,0.0009307,0.0009307,0.0009307
9,118.954,1.2256,1.37188,1.38917,0.66372,0.49611,0.51538,0.27774,1.60311,1.82115,1.60086,0.0009208,0.0009208,0.0009208
10,129.074,1.21701,1.32794,1.40815,0.49758,0.57424,0.53734,0.31072,1.42529,1.41039,1.53586,0.0009109,0.0009109,0.0009109
11,141.973,1.189,1.27264,1.37202,0.534,0.60571,0.52169,0.28359,1.53943,1.55878,1.56872,0.000901,0.000901,0.000901
12,153.385,1.16943,1.25637,1.37196,0.47605,0.4985,0.43955,0.25988,1.31902,2.02032,1.42569,0.0008911,0.0008911,0.0008911
13,165.866,1.13987,1.2306,1.31767,0.67045,0.66342,0.64234,0.36065,1.51319,1.33676,1.54449,0.0008812,0.0008812,0.0008812
14,177.811,1.12193,1.22091,1.3226,0.68468,0.6367,0.68875,0.41036,1.31986,1.25847,1.37096,0.0008713,0.0008713,0.0008713
15,193.321,1.10506,1.14651,1.32061,0.68677,0.60675,0.67761,0.4156,1.29205,1.17359,1.32829,0.0008614,0.0008614,0.0008614
