epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9243,1.71394,3.36719,1.75256,0.00273,0.43494,0.03992,0.01277,2.4735,4.00528,2.51123,0.084016,1.6e-05,1.6e-05
2,33.6403,1.31319,2.53406,1.42642,0.0025,0.41646,0.02608,0.00769,2.68711,3.96453,2.7925,0.0670323,3.23466e-05,3.23466e-05
3,45.8288,1.24621,2.19328,1.39039,0.00472,0.66018,0.08011,0.0416,1.79515,3.58153,1.71659,0.050048,4.802e-05,4.802e-05
4,57.7774,1.24617,2.03393,1.38847,0.10387,0.63814,0.26605,0.16387,1.40834,2.92294,1.38219,0.033063,6.30202e-05,6.30202e-05
5,70.5884,1.23223,1.85991,1.36919,0.79814,0.29018,0.40689,0.23706,1.43903,2.36259,1.40088,0.0160773,7.73472e-05,7.73472e-05
6,82.8173,1.20971,1.74083,1.35288,0.51869,0.46743,0.49008,0.28141,1.46582,1.96021,1.42677,9.01e-05,9.01e-05,9.01e-05
7,93.4581,1.18392,1.61366,1.33872,0.45881,0.47699,0.46267,0.27614,1.45664,1.82994,1.41565,8.812e-05,8.812e-05,8.812e-05
8,105.338,1.14992,1.55214,1.32536,0.59664,0.54272,0.55567,0.30643,1.57828,1.559,1.47615,8.614e-05,8.614e-05,8.614e-05
9,121.673,1.15962,1.49251,1.31204,0.69339,0.51907,0.59909,0.3581,1.34057,1.41207,1.31597,8.416e-05,8.416e-05,8.416e-05
10,132.843,1.1476,1.44802,1.32423,0.63198,0.56373,0.60466,0.34713,1.47616,1.39372,1.40989,8.218e-05,8.218e-05,8.218e-05
11,144.927,1.14113,1.39412,1.30218,0.75587,0.50455,0.60795,0.35147,1.47454,1.33704,1.42319,8.02e-05,8.02e-05,8.02e-05
12,157.217,1.12537,1.39019,1.2948,0.72474,0.55166,0.64687,0.39067,1.39479,1.20614,1.36949,7.822e-05,7.822e-05,7.822e-05
13,171.218,1.11245,1.35333,1.25958,0.79889,0.55454,0.66043,0.40787,1.34492,1.20273,1.31498,7.624e-05,7.624e-05,7.624e-05
14,183.046,1.09653,1.30821,1.26634,0.75945,0.56456,0.66731,0.36307,1.6124,1.269,1.50898,7.426e-05,7.426e-05,7.426e-05
15,198.566,1.07863,1.26307,1.27071,0.73649,0.57831,0.67304,0.39275,1.46497,1.17729,1.39268,7.228e-05,7.228e-05,7.228e-05
16,209.9,1.08866,1.26298,1.27081,0.69478,0.56944,0.63976,0.36937,1.48496,1.22591,1.39295,7.03e-05,7.03e-05,7.03e-05
17,220.864,1.08667,1.25168,1.26762,0.69922,0.57642,0.64258,0.37751,1.42755,1.16496,1.34589,6.832e-05,6.832e-05,6.832e-05
18,234.206,1.05148,1.21846,1.24486,0.69445,0.57934,0.65447,0.38719,1.41176,1.16091,1.33734,6.634e-05,6.634e-05,6.634e-05
19,248.357,1.06407,1.23052,1.25247,0.68523,0.60004,0.68104,0.40967,1.38979,1.16734,1.31818,6.436e-05,6.436e-05,6.436e-05
20,260.753,1.01827,1.1309,1.23267,0.7313,0.5859,0.68991,0.42345,1.35621,1.15178,1.30272,6.238e-05,6.238e-05,6.238e-05
21,271.866,1.05311,1.16246,1.25423,0.73003,0.59361,0.66973,0.39422,1.42626,1.1679,1.34669,6.04e-05,6.04e-05,6.04e-05
22,285.055,1.07052,1.16591,1.26276,0.64366,0.63705,0.64211,0.34929,1.55602,1.20002,1.45756,5.842e-05,5.842e-05,5.842e-05
23,296.333,1.04756,1.12081,1.23673,0.71794,0.58062,0.63879,0.38951,1.37002,1.15455,1.32401,5.644e-05,5.644e-05,5.644e-05
24,308.712,1.04763,1.14727,1.24211,0.80334,0.59132,0.70014,0.3634,1.67295,1.19128,1.52356,5.446e-05,5.446e-05,5.446e-05
25,321.038,1.06002,1.14278,1.24586,0.73635,0.59353,0.69604,0.42241,1.40169,1.07289,1.32111,5.248e-05,5.248e-05,5.248e-05
26,334.078,1.01977,1.09775,1.2196,0.6826,0.61252,0.67774,0.38965,1.44357,1.10061,1.35194,5.05e-05,5.05e-05,5.05e-05
27,350.164,1.04894,1.10853,1.23761,0.74826,0.60805,0.68871,0.38327,1.54787,1.10456,1.43709,4.852e-05,4.852e-05,4.852e-05
28,361.022,1.03057,1.07509,1.22223,0.65933,0.62881,0.68089,0.43988,1.24566,1.07836,1.24974,4.654e-05,4.654e-05,4.654e-05
29,374.779,0.9982,1.05161,1.22993,0.79554,0.62556,0.73392,0.43878,1.43549,1.05617,1.36306,4.456e-05,4.456e-05,4.456e-05
30,386.333,1.0285,1.04979,1.24248,0.82137,0.61916,0.73299,0.44952,1.32774,1.02791,1.28139,4.258e-05,4.258e-05,4.258e-05
31,400.292,0.99704,1.03033,1.21425,0.73984,0.58791,0.68146,0.44984,1.17786,1.03163,1.20295,4.06e-05,4.06e-05,4.06e-05
32,412.748,0.98707,1.02841,1.19853,0.75305,0.60296,0.69618,0.42697,1.34947,1.04724,1.30272,3.862e-05,3.862e-05,3.862e-05
33,425.422,0.99344,1.05826,1.20761,0.78155,0.57782,0.69298,0.4359,1.31951,1.05695,1.28149,3.664e-05,3.664e-05,3.664e-05
34,437.772,0.99032,1.03436,1.19596,0.71459,0.60617,0.68498,0.4231,1.30316,1.0837,1.27226,3.466e-05,3.466e-05,3.466e-05
35,450.446,0.97361,1.02642,1.20341,0.75558,0.60074,0.70547,0.43688,1.36342,1.05292,1.31145,3.268e-05,3.268e-05,3.268e-05
36,462.44,0.97065,0.99726,1.20146,0.73999,0.62429,0.71619,0.45321,1.32646,1.02452,1.29955,3.07e-05,3.07e-05,3.07e-05
37,473.956,0.9641,0.99696,1.19524,0.74805,0.61407,0.72389,0.45424,1.34749,1.02628,1.30976,2.872e-05,2.872e-05,2.872e-05
38,484.651,1.00006,1.00126,1.19809,0.78538,0.58163,0.70862,0.4412,1.33342,1.04705,1.29594,2.674e-05,2.674e-05,2.674e-05
39,497.723,0.99113,1.00685,1.20648,0.78895,0.59967,0.70815,0.4457,1.30724,1.03458,1.27978,2.476e-05,2.476e-05,2.476e-05
40,509.572,0.97218,0.9758,1.18853,0.81384,0.59163,0.72037,0.4521,1.32811,1.01505,1.2928,2.278e-05,2.278e-05,2.278e-05
41,533.46,0.90027,1.14488,1.1723,0.71813,0.68467,0.74635,0.46441,1.35459,1.0433,1.30511,2.08e-05,2.08e-05,2.08e-05
42,546.912,0.90408,1.06998,1.17716,0.71788,0.65662,0.73129,0.4522,1.36543,1.18241,1.3262,1.882e-05,1.882e-05,1.882e-05
43,558.653,0.87085,1.0126,1.16907,0.82998,0.61373,0.74147,0.479,1.24566,1.04858,1.25811,1.684e-05,1.684e-05,1.684e-05
44,570.594,0.89648,0.95191,1.15358,0.76439,0.65111,0.74106,0.48616,1.22152,0.97905,1.24892,1.486e-05,1.486e-05,1.486e-05
45,582.928,0.83202,0.89882,1.11381,0.77322,0.64808,0.73594,0.47389,1.25479,0.97047,1.26634,1.288e-05,1.288e-05,1.288e-05
46,594.775,0.85438,0.91499,1.13789,0.76494,0.65196,0.73849,0.47573,1.25085,0.96131,1.26411,1.09e-05,1.09e-05,1.09e-05
47,605.893,0.86325,0.91443,1.15043,0.72331,0.67938,0.73996,0.47713,1.25219,0.96077,1.26047,8.92e-06,8.92e-06,8.92e-06
48,617.7,0.86299,0.93697,1.13583,0.75899,0.65039,0.73987,0.48081,1.23115,0.96433,1.24546,6.94e-06,6.94e-06,6.94e-06
49,632.17,0.8607,0.9302,1.13983,0.73702,0.65645,0.73727,0.48048,1.22623,0.9651,1.2441,4.96e-06,4.96e-06,4.96e-06
50,643.077,0.86373,0.91428,1.12991,0.78553,0.63397,0.73596,0.47835,1.23025,0.96884,1.24581,2.98e-06,2.98e-06,2.98e-06
