epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5117,1.76624,3.30386,1.80571,0.0037,0.47934,0.02814,0.00988,2.1331,3.70036,2.32879,0.08416,0.00016,0.00016
2,33.815,1.35186,2.21273,1.48215,0.40848,0.1191,0.04451,0.01005,2.18982,4.2961,3.28904,0.0673169,0.000316932,0.000316932
3,46.3095,1.28268,1.78724,1.4533,0.45297,0.1882,0.22306,0.09684,2.20581,3.21353,2.23756,0.0504604,0.0004604,0.0004604
4,58.76,1.27266,1.61486,1.43725,0.65492,0.39179,0.40635,0.17757,2.00974,2.26713,2.00189,0.0335904,0.000590404,0.000590404
5,70.7048,1.25001,1.52615,1.41934,0.45756,0.4208,0.4469,0.23081,1.76687,2.659,1.80638,0.0167069,0.000706944,0.000706944
6,82.481,1.28529,1.5398,1.44513,0.62631,0.51542,0.54455,0.29843,1.71918,1.72544,1.668,0.000802,0.000802,0.000802
7,92.7826,1.24414,1.43422,1.41337,0.59592,0.54301,0.5726,0.29493,1.69048,1.82198,1.77147,0.0007624,0.0007624,0.0007624
8,105.096,1.20812,1.35543,1.38811,0.75815,0.48051,0.61088,0.33494,1.65221,1.50772,1.65025,0.0007228,0.0007228,0.0007228
9,120.448,1.22066,1.33563,1.38944,0.65558,0.6126,0.66061,0.38312,1.57499,1.31504,1.55081,0.0006832,0.0006832,0.0006832
10,131.97,1.18982,1.30881,1.38528,0.59413,0.46988,0.49461,0.29056,1.55761,1.65965,1.54412,0.0006436,0.0006436,0.0006436
11,143.973,1.17086,1.21389,1.33801,0.55325,0.54885,0.57639,0.32582,1.53071,1.55292,1.58109,0.000604,0.000604,0.000604
12,155.987,1.14793,1.23014,1.34857,0.63332,0.5981,0.62216,0.36323,1.34518,1.45882,1.42412,0.0005644,0.0005644,0.0005644
13,167.518,1.11046,1.19924,1.29413,0.68336,0.616,0.6813,0.38376,1.49419,1.41388,1.44797,0.0005248,0.0005248,0.0005248
14,178.407,1.1042,1.16476,1.30802,0.67364,0.65694,0.69677,0.41813,1.35812,1.18819,1.35185,0.0004852,0.0004852,0.0004852
15,194.576,1.05827,1.0726,1.28412,0.71085,0.6186,0.70606,0.39193,1.53491,1.21226,1.46698,0.0004456,0.0004456,0.0004456
16,218.203,0.98659,1.07848,1.25774,0.70457,0.68444,0.73018,0.44413,1.27395,1.12103,1.32493,0.000406,0.000406,0.000406
17,234.096,0.95761,0.97202,1.24394,0.71882,0.63691,0.7065,0.43543,1.2316,1.10168,1.29177,0.0003664,0.0003664,0.0003664
18,246.112,0.92956,0.94636,1.22024,0.7767,0.60878,0.67448,0.40544,1.32639,1.15491,1.32285,0.0003268,0.0003268,0.0003268
19,259,0.93596,0.90565,1.2292,0.74975,0.65285,0.70675,0.44617,1.21015,1.13784,1.23867,0.0002872,0.0002872,0.0002872
20,269.232,0.90933,0.88128,1.20174,0.80516,0.66692,0.74849,0.46639,1.26978,1.06367,1.26502,0.0002476,0.0002476,0.0002476
21,282.514,0.87611,0.85112,1.18339,0.80642,0.63701,0.74318,0.47644,1.26871,1.06378,1.27391,0.000208,0.000208,0.000208
22,295.117,0.86194,0.80958,1.17128,0.793,0.65403,0.73642,0.47981,1.19557,1.02861,1.29208,0.0001684,0.0001684,0.0001684
23,305.992,0.83224,0.80236,1.1497,0.81344,0.63789,0.74126,0.51326,1.06606,0.98832,1.2216,0.0001288,0.0001288,0.0001288
24,318.191,0.84946,0.77505,1.16182,0.77373,0.67111,0.73899,0.51689,1.06739,0.94574,1.20987,8.92e-05,8.92e-05,8.92e-05
25,331.306,0.85143,0.76586,1.14716,0.80217,0.67775,0.74169,0.5117,1.09425,0.9632,1.22042,4.96e-05,4.96e-05,4.96e-05
