epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5238,1.48499,3.30406,1.62747,0.00714,0.68544,0.22798,0.16836,0.88787,2.96827,1.12228,0.00022864,0.00022864,0.00022864
2,33.0941,1.05909,2.21684,1.32603,0.9578,0.09861,0.38606,0.2759,0.95728,2.68462,1.25595,0.000466901,0.000466901,0.000466901
3,45.7989,1.03384,1.88748,1.31335,0.67696,0.25304,0.30377,0.16601,1.51964,2.81848,1.98611,0.000700353,0.000700353,0.000700353
4,57.8663,1.06034,1.74678,1.32044,0.61487,0.35235,0.43539,0.27786,1.10229,2.31928,1.39221,0.000928994,0.000928994,0.000928994
5,71.7299,1.04109,1.68729,1.30795,0.58608,0.26066,0.30466,0.20619,1.18206,2.45879,1.51108,0.00115283,0.00115283,0.00115283
6,83.9643,1.0647,1.64165,1.30667,0.5534,0.42303,0.48447,0.30303,1.14799,1.80201,1.42746,0.00135826,0.00135826,0.00135826
7,94.7616,1.0852,1.56181,1.31815,0.58401,0.36519,0.41763,0.25808,1.31695,2.02155,1.78281,0.00134412,0.00134412,0.00134412
8,107.545,1.0411,1.51063,1.29519,0.42386,0.42363,0.34386,0.19997,1.30255,2.15097,1.46296,0.00132997,0.00132997,0.00132997
9,123.119,1.05732,1.4929,1.32183,0.70602,0.40892,0.48262,0.33039,1.06606,1.7228,1.31099,0.00131582,0.00131582,0.00131582
10,133.913,1.03049,1.44976,1.31148,0.57932,0.41835,0.45527,0.30307,1.20697,1.92131,1.37147,0.00130168,0.00130168,0.00130168
11,145.86,1.0004,1.34883,1.26785,0.71592,0.45742,0.56055,0.36824,1.06949,1.50658,1.25344,0.00128753,0.00128753,0.00128753
12,157.967,0.99534,1.30502,1.2642,0.51685,0.52792,0.50576,0.33408,1.21827,1.40259,1.4773,0.00127338,0.00127338,0.00127338
13,171.632,0.98247,1.28598,1.2442,0.43217,0.52263,0.40203,0.26145,1.1706,2.01208,1.42224,0.00125923,0.00125923,0.00125923
14,183.32,0.95488,1.27252,1.23236,0.69605,0.56134,0.59778,0.39829,1.05752,1.3244,1.31431,0.00124509,0.00124509,0.00124509
15,198.43,0.92928,1.17869,1.21929,0.77761,0.57137,0.66796,0.43543,1.10987,1.25538,1.33544,0.00123094,0.00123094,0.00123094
16,209.228,0.97443,1.21079,1.25177,0.65089,0.52411,0.55799,0.39457,1.04669,1.56854,1.25338,0.00121679,0.00121679,0.00121679
